N	2gram	Tiupa_Hudo_2	VrazhdaK
1	не только	11	9
2	в этом	13	8
3	и в	28	8
4	но и	9	7
5	что в	5	7
6	то что	6	7
7	и все	7	7
8	в котором	6	6
9	в нем	3	6
10	все же	2	6
11	как и	11	6
12	но в	2	6
13	и с	6	6
14	о нем	2	6
15	то же	6	5
16	не было	6	5
17	и не	18	5
18	у него	5	5
19	об этом	7	5
20	между тем	8	5
21	в то	6	5
22	же время	4	5
23	для нас	3	4
24	как бы	5	4
25	все это	3	4
26	это не	6	4
27	что он	8	4
28	так же	3	4
29	с ним	7	4
30	может быть	8	4
31	при этом	11	4
32	несмотря на	3	4
33	о том	12	4
34	в ней	3	4
35	я не	7	3
36	и уже	4	3
37	с его	5	3
38	который был	2	3
39	давно уже	2	3
40	в своем	5	3
41	что у	3	3
42	о себе	3	3
43	т е	2	3
44	человека в	4	3
45	и у	2	3
46	в том	15	3
47	раз в	3	3
48	и его	5	3
49	том что	19	3
50	тем что	6	3
51	в его	11	3
52	его в	2	3
53	наряду с	5	3
54	и о	4	3
55	он не	4	3
56	место в	2	2
57	а с	3	2
58	он сам	2	2
59	в своей	6	2
60	и а	2	2
61	и это	3	2
62	из них	2	2
63	не менее	5	2
64	никогда не	5	2
65	вместе с	2	2
66	отнюдь не	2	2
67	его и	2	2
68	в них	3	2
69	столь же	3	2
70	как раз	4	2
71	не может	4	2
72	а в	6	2
73	тогда как	7	2
74	рядом с	5	2
75	о которой	2	2
76	уже не	10	2
77	к себе	3	2
78	и он	3	2
79	же не	2	2
80	мы знаем	2	2
81	с точки	2	2
82	как же	2	2
83	в глазах	6	2
84	в этой	5	2
85	что я	2	2
86	и то	2	2
87	же как	2	2
88	точки зрения	2	2
89	и ее	3	2
90	в себе	9	2
91	отношение к	2	2
92	для него	5	2
93	еще не	3	2
94	в это	3	2
95	о чем	8	2
96	в мире	7	2
97	ответ на	2	2
98	с нею	3	2
99	одна из	2	2
100	а также	2	2
