N	2gram	Bakhtin_Fr_6	Tvorches
1	и в	41	20
2	в году	6	16
3	в романе	2	15
4	не только	10	13
5	никогда не	8	11
6	как бы	7	11
7	в его	7	10
8	таким образом	17	10
9	в то	6	10
10	и его	13	9
11	и не	3	9
12	прежде всего	10	8
13	в том	2	8
14	при этом	3	8
15	но и	13	8
16	может быть	2	8
17	в этом	12	8
18	и с	16	8
19	представление о	2	7
20	же время	5	7
21	что в	7	7
22	не может	4	7
23	то же	5	7
24	потому что	3	7
25	у него	7	6
26	в конце	2	6
27	что он	6	6
28	как и	7	6
29	в своей	2	6
30	так и	5	6
31	все это	11	6
32	именно в	4	6
33	а не	2	6
34	но это	3	5
35	но не	2	5
36	и сам	3	5
37	например в	6	5
38	все же	4	5
39	и даже	4	5
40	так же	5	5
41	и на	9	5
42	в этой	8	5
43	о том	9	5
44	то есть	24	5
45	и от	4	4
46	в духе	3	4
47	мы не	2	4
48	том что	7	4
49	в дальнейшем	2	4
50	мы видим	6	4
51	что они	2	4
52	на его	2	4
53	хотя и	2	4
54	как в	4	4
55	все эти	11	4
56	не в	4	4
57	а в	4	4
58	в чем	3	4
59	и потому	2	4
60	но в	8	4
61	он сам	3	3
62	превращается в	2	3
63	с этой	3	3
64	в одной	3	3
65	человека и	2	3
66	в образе	6	3
67	с ним	4	3
68	а затем	4	3
69	и отчасти	2	3
70	в античной	2	3
71	что не	3	3
72	одной из	3	3
73	в самом	10	3
74	он не	2	3
75	в котором	4	3
76	и др	10	3
77	один из	6	3
78	в нем	16	3
79	то что	10	3
80	но уже	2	3
81	вместе с	6	3
82	сих пор	3	3
83	так как	10	3
84	одним из	4	3
85	тем что	5	3
86	в себе	5	3
87	в начале	3	3
88	как у	3	3
89	в плане	3	3
90	между тем	2	3
91	до сих	3	3
92	уже в	4	2
93	все время	4	2
94	это уже	2	2
95	с другой	4	2
96	в одном	5	2
97	вовсе не	7	2
98	в литературе	5	2
99	в ее	5	2
100	в искусстве	3	2
101	у нас	4	2
102	так что	2	2
103	мы узнаем	2	2
104	более того	4	2
105	как о	2	2
106	как известно	2	2
107	характер в	3	2
108	в частности	2	2
109	но если	2	2
110	себя в	2	2
111	в первой	3	2
112	в истории	2	2
113	начиная с	2	2
114	но эта	2	2
115	самом деле	4	2
116	и что	5	2
117	и у	2	2
118	и наконец	4	2
119	другой стороны	2	2
120	и он	5	2
121	рядом с	5	2
122	роль в	4	2
123	с другими	3	2
124	в основе	4	2
125	из них	5	2
126	говорить о	2	2
127	и вообще	4	2
128	только в	3	2
129	из этого	4	2
130	так сказать	2	2
131	это все	2	2
132	сильнее и	2	2
133	их в	2	2
134	только с	3	2
135	это прежде	2	2
