N	2gram	Kanaev_Sov_1	TeoriaLi
1	не только	4	18
2	и не	6	16
3	а в	4	14
4	и в	7	13
5	может быть	12	12
6	при этом	3	11
7	в этом	7	11
8	в том	4	11
9	а не	3	10
10	в его	2	9
11	то же	3	9
12	что в	2	8
13	такого рода	2	8
14	в себе	3	7
15	в отличие	2	7
16	точки зрения	12	7
17	отличие от	2	7
18	еще не	3	6
19	как бы	4	6
20	но в	3	6
21	или иной	2	5
22	как и	6	5
23	не в	3	5
24	в самом	2	5
25	в нем	3	5
26	уже не	2	5
27	не менее	2	4
28	в свою	2	4
29	приводит к	2	4
30	не может	17	4
31	говорить о	2	4
32	в нашем	2	3
33	он должен	2	3
34	прежде всего	5	3
35	и к	3	3
36	тем не	2	3
37	свою очередь	2	3
38	и потому	3	3
39	на две	3	3
40	таким образом	11	3
41	и что	2	3
42	и по	2	3
43	в этой	3	3
44	и т.д	3	3
45	все эти	5	3
46	могут быть	2	2
47	между собой	3	2
48	в конце	3	2
49	это не	4	2
50	этих двух	2	2
51	а на	2	2
52	из которых	2	2
53	в целом	4	2
54	вместе с	4	2
55	с одной	2	2
56	с точки	5	2
57	и даже	2	2
58	роль в	2	2
59	тот или	2	2
60	их в	4	2
61	у него	2	2
62	в которой	2	2
63	в области	3	2
