N	2gram	Bakhtin_Pr_1	EvropaiC
1	таким образом	10	32
2	в том	8	31
3	и в	38	24
4	том что	3	20
5	все эти	5	19
6	не может	27	18
7	то что	8	17
8	может быть	26	15
9	все же	6	15
10	точки зрения	8	13
11	в своем	5	12
12	самом деле	6	12
13	в этом	15	12
14	все это	3	11
15	между тем	7	11
16	отношению к	19	10
17	как бы	22	10
18	по отношению	21	10
19	все что	3	10
20	во всех	11	10
21	так и	5	10
22	культуры и	3	10
23	на то	2	9
24	при этом	5	9
25	как и	7	9
26	что в	7	9
27	не в	7	8
28	в самом	7	8
29	если бы	3	8
30	и все	3	8
31	ясно что	3	8
32	с точки	6	8
33	не менее	4	7
34	но и	9	7
35	и не	42	7
36	и что	2	7
37	о котором	2	7
38	о том	4	7
39	что он	2	7
40	о которых	2	7
41	по существу	2	7
42	в психике	6	7
43	на самом	4	7
44	того чтобы	2	7
45	для того	2	7
46	должна быть	4	6
47	все они	5	6
48	с другой	7	6
49	несмотря на	3	6
50	отличается от	2	6
51	того что	2	6
52	и на	3	6
53	с ним	5	6
54	начало и	3	6
55	и при	2	6
56	еще не	7	6
57	что и	2	6
58	в мире	3	6
59	мы можем	6	6
60	только в	13	6
61	что это	2	5
62	столь же	2	5
63	и от	3	5
64	что все	2	5
65	в целом	3	5
66	другой стороны	4	5
67	как к	2	5
68	и с	17	5
69	его в	9	5
70	но в	4	5
71	к этому	2	5
72	и к	3	5
73	в то	4	5
74	в его	43	5
75	не только	9	5
76	и для	11	5
77	лишь в	2	5
78	в себе	4	5
79	далеко не	5	5
80	не могут	2	4
81	никогда не	5	4
82	и проч	28	4
83	тем не	3	4
84	в дальнейшем	3	4
85	ибо в	2	4
86	хотя и	3	4
87	отношение к	10	4
88	в их	10	4
89	которых мы	4	4
90	должно быть	5	4
91	связи с	2	4
92	мы должны	2	4
93	том же	2	4
94	он не	3	4
95	не есть	6	4
96	что эта	2	4
97	совершенно не	7	4
98	то же	5	4
99	этой области	2	4
100	из которых	2	4
101	и у	2	4
102	хотя бы	4	4
103	и конец	2	4
104	в таком	3	4
105	в виде	2	4
106	в области	11	4
107	а лишь	2	3
108	мы будем	3	3
109	с одной	3	3
110	в нашем	4	3
111	в этих	2	3
112	в тех	3	3
113	не вполне	2	3
114	в нем	15	3
115	данном случае	4	3
116	то ни	3	3
117	что оно	2	3
118	и других	2	3
119	и наконец	6	3
120	а в	6	3
121	это не	5	3
122	в начале	2	3
123	в истории	2	3
124	и потому	4	3
125	прежде всего	13	3
126	у нас	2	3
127	во всем	2	3
128	от него	3	3
129	чем в	2	3
130	конечно не	5	3
131	на почве	3	3
132	должны быть	4	3
133	в данном	4	3
134	в связи	2	3
135	и вообще	2	3
136	и это	3	3
137	отличие от	5	3
138	и весь	2	2
139	независимо от	13	2
140	в частности	2	2
141	себя и	3	2
142	вследствие этого	3	2
143	как мы	7	2
144	на этом	2	2
145	же время	3	2
146	в свою	2	2
147	одной стороны	3	2
148	у в	3	2
149	к нему	10	2
150	в ней	4	2
151	в виду	4	2
152	в котором	2	2
153	бы то	3	2
154	другими словами	2	2
155	имеет место	5	2
156	ценности и	2	2
157	в самой	2	2
158	они не	3	2
159	ни было	3	2
160	и те	2	2
161	с ними	4	2
162	не следует	2	2
163	только при	2	2
164	но как	2	2
165	говорить о	3	2
166	не было	2	2
167	все то	3	2
168	также и	3	2
169	то есть	46	2
170	в основе	5	2
171	и более	2	2
172	отнюдь не	19	2
173	в них	5	2
174	следует что	2	2
175	он должен	2	2
176	должен быть	2	2
177	вовсе не	2	2
178	на первый	2	2
179	где находится	2	2
180	а к	2	2
181	одна из	2	2
182	но не	12	2
183	она не	2	2
184	было бы	8	2
185	тем как	5	2
186	на него	3	2
187	но с	3	2
188	в себя	2	2
189	тем самым	4	2
190	не более	2	2
191	между ними	4	2
192	и ее	2	2
193	в другом	2	2
194	не знает	3	2
195	и только	4	2
196	которые могут	2	2
