N	2gram	Vinokur_Ku_1	slovoVRo
1	и в	24	39
2	может быть	13	37
3	и т	33	35
4	и его	5	33
5	т п	18	33
6	не только	10	24
7	и не	12	22
8	но и	6	21
9	не может	7	20
10	в нем	4	19
11	до конца	2	17
12	все это	6	16
13	в этом	14	16
14	так и	7	15
15	а не	8	14
16	как в	4	13
17	в пределах	4	13
18	в истории	3	11
19	вовсе не	10	10
20	к своему	2	9
21	не в	11	9
22	языка и	8	9
23	и с	5	9
24	прежде всего	9	8
25	оно не	3	8
26	слова и	4	8
27	таким образом	12	8
28	точки зрения	14	8
29	с его	4	7
30	языка как	5	7
31	при этом	6	7
32	еще не	5	7
33	в его	12	7
34	как бы	7	7
35	никогда не	2	7
36	в этих	4	7
37	и потому	4	7
38	и даже	3	7
39	с ним	5	7
40	в них	7	6
41	язык в	5	6
42	этом случае	2	6
43	все же	12	6
44	как и	2	6
45	в своем	3	6
46	языка в	12	6
47	но не	5	6
48	в большинстве	2	6
49	в сущности	3	6
50	там где	4	6
51	все эти	6	6
52	в слове	2	6
53	так сказать	5	6
54	но в	2	6
55	не могут	2	5
56	с другой	7	5
57	это не	7	5
58	и для	2	5
59	и все	2	5
60	со словом	3	5
61	по себе	2	5
62	для нас	2	5
63	том что	21	5
64	но все	2	5
65	или иной	3	5
66	только в	11	5
67	в том	30	5
68	например в	5	5
69	один из	4	5
70	уже не	8	5
71	с ними	4	5
72	конечно не	2	5
73	не менее	7	4
74	ни в	2	4
75	отношению к	9	4
76	же время	2	4
77	зависимости от	6	4
78	в смысле	2	4
79	в зависимости	5	4
80	по отношению	8	4
81	для этого	3	4
82	то же	8	4
83	что оно	3	4
84	с помощью	7	4
85	в той	5	4
86	в таком	3	4
87	а в	5	4
88	и на	4	4
89	языка не	3	4
90	даже и	3	4
91	xix века	5	4
92	в то	2	4
93	здесь не	3	4
94	так как	9	4
95	что в	17	3
96	хотя бы	10	3
97	не столько	2	3
98	должна быть	3	3
99	язык как	9	3
100	в собственном	2	3
101	не с	3	3
102	в свою	3	3
103	что и	4	3
104	исторической жизни	2	3
105	связи с	7	3
106	и как	2	3
107	с их	3	3
108	языка то	2	3
109	в ней	6	3
110	связано с	3	3
111	бы и	2	3
112	в контексте	2	3
113	языке как	3	3
114	этом отношении	5	3
115	лишь в	2	3
116	с точки	9	3
117	той же	3	3
118	рядом с	5	3
119	между тем	5	3
120	речи и	5	3
121	может иметь	2	3
122	и социальной	2	3
123	в особенности	3	3
124	как это	3	3
125	во всяком	5	3
126	в данном	4	2
127	уже в	3	2
128	с языком	2	2
129	не было	3	2
130	и более	2	2
131	свой язык	3	2
132	хотя и	3	2
133	его так	2	2
134	того как	4	2
135	тогда когда	6	2
136	речи не	2	2
137	не всегда	2	2
138	как например	2	2
139	в себе	3	2
140	и здесь	3	2
141	что он	6	2
142	что язык	7	2
143	несколько слов	3	2
144	языка это	4	2
145	более или	3	2
146	свою очередь	3	2
147	как о	2	2
148	мы увидим	3	2
149	этих случаях	2	2
150	только и	3	2
151	слов о	2	2
152	же и	2	2
153	о нем	2	2
154	слова как	3	2
155	всяком случае	5	2
156	языка если	2	2
157	даже в	3	2
158	не все	2	2
159	должен быть	4	2
160	сих пор	4	2
161	на его	3	2
162	то что	9	2
163	вместе с	7	2
164	или менее	3	2
165	а именно	2	2
166	в их	3	2
167	в языке	8	2
168	смысл и	2	2
169	в связи	3	2
170	с этим	4	2
171	т д	14	2
172	именно в	6	2
173	данном языке	2	2
174	это и	4	2
175	они не	3	2
176	того чтобы	17	2
177	для того	16	2
178	одним из	2	2
179	мы наблюдаем	2	2
180	роль в	4	2
181	слов в	2	2
182	или в	2	2
183	также и	2	2
184	в результате	5	2
185	и при	2	2
186	в более	2	2
187	он не	2	2
188	нуждается в	3	2
189	как с	2	2
190	в противовес	3	2
191	о том	9	2
192	можно говорить	2	2
193	здесь как	2	2
194	в области	7	2
195	в одном	3	2
196	до сих	4	2
