N	2gram	Nazirov_Tr_1	Hudozhes
1	в мире	3	23
2	то есть	3	18
3	и не	7	16
4	в том	2	15
5	и в	18	15
6	не только	8	15
7	в частности	2	13
8	может быть	7	13
9	при этом	3	12
10	и его	6	12
11	в этом	9	11
12	в себе	4	11
13	как бы	7	10
14	но и	4	10
15	так и	5	10
16	то же	5	10
17	в его	3	9
18	в душе	2	8
19	своего рода	3	8
20	в отличие	2	7
21	в то	5	7
22	отличие от	2	7
23	но в	6	7
24	с его	2	6
25	что в	4	6
26	в ее	2	6
27	том что	4	6
28	не в	2	6
29	же время	6	6
30	отношение к	2	6
31	не может	5	6
32	ни в	2	5
33	тем самым	3	5
34	в самом	2	5
35	в нем	4	5
36	с ее	3	5
37	то что	4	5
38	уже не	2	5
39	прежде всего	4	4
40	к тому	2	4
41	в ходе	2	4
42	и как	3	4
43	для него	3	4
44	еще не	4	4
45	он не	2	4
46	и то	2	4
47	как это	3	4
48	личности и	2	3
49	это не	5	3
50	что он	6	3
51	о чем	3	3
52	мог бы	3	3
53	к области	2	3
54	к нему	3	3
55	как говорит	2	3
56	в целом	4	3
57	как и	5	3
58	и что	4	3
59	в таком	2	3
60	в рассказе	2	3
61	не случайно	2	3
62	потому что	2	3
63	и ее	2	3
64	в данном	2	3
65	его в	2	3
66	я не	4	2
67	в своем	3	2
68	в одном	2	2
69	только о	2	2
70	об этом	4	2
71	о его	2	2
72	одна из	2	2
73	в глаза	2	2
74	говорит что	2	2
75	и сам	3	2
76	несмотря на	5	2
77	никто не	3	2
78	дома и	2	2
79	к жизни	5	2
80	как в	3	2
81	поведение в	2	2
82	в романе	10	2
83	все эти	3	2
84	в году	9	2
85	времени в	2	2
86	так же	4	2
87	с ним	3	2
88	и на	7	2
89	у него	6	2
90	в этой	4	2
91	о том	2	2
92	и это	2	2
