N	2gram	Nazirov_Vr_1	Freidism
1	таким образом	2	24
2	и не	5	23
3	– это	6	21
4	не может	2	20
5	точки зрения	2	19
6	в этом	8	15
7	в его	3	15
8	может быть	4	13
9	и его	3	12
10	как и	6	11
11	как бы	4	11
12	то что	7	11
13	с точки	2	11
14	его в	3	10
15	с ним	4	10
16	но в	6	10
17	с его	3	9
18	и в	8	9
19	что он	4	8
20	еще не	2	8
21	в своей	2	8
22	он не	3	8
23	не только	9	8
24	все это	4	8
25	то же	5	8
26	и все	7	8
27	мы знаем	2	7
28	чувств и	2	7
29	отношение к	2	7
30	никогда не	2	6
31	и ее	2	6
32	для него	2	6
33	в ней	4	6
34	и с	6	6
35	он сам	2	5
36	в свою	2	5
37	в период	2	5
38	в этой	2	5
39	в чем	3	5
40	в то	5	5
41	что в	7	5
42	но и	7	5
43	по мнению	2	5
44	а в	2	5
45	не менее	2	4
46	я не	3	4
47	в котором	6	4
48	и образы	2	4
49	об этом	5	4
50	же время	5	4
51	при этом	4	4
52	и о	3	4
53	как раз	2	4
54	в нем	6	4
55	все же	6	4
56	не было	5	4
57	уже не	2	4
58	во время	2	4
59	о которой	2	3
60	в них	2	3
61	о себе	3	3
62	к себе	2	3
63	на место	2	3
64	в себе	2	3
65	он был	3	3
66	и как	3	3
67	но это	2	3
68	вместе с	2	3
69	и что	8	3
70	и т.п	2	3
71	у него	5	3
72	человека с	2	3
73	одна из	2	3
74	уже в	4	2
75	человека в	3	2
76	его и	2	2
77	матери и	3	2
78	это не	4	2
79	в конце	3	2
80	к этому	3	2
81	в одну	2	2
82	и уже	3	2
83	для нас	4	2
84	том что	3	2
85	в нашей	2	2
86	из них	2	2
87	о нем	6	2
88	в него	2	2
89	в своем	3	2
90	в этот	3	2
91	ответ на	2	2
92	отношения к	2	2
93	а с	2	2
94	и у	3	2
95	и даже	6	2
96	так же	4	2
97	рядом с	2	2
98	на основе	2	2
99	и то	2	2
100	их в	2	2
101	в своих	4	2
102	но как	2	2
103	при помощи	2	2
104	в эту	2	2
105	в момент	2	2
106	в виду	4	2
