N	3gram	Propp_Isto_1	Psycholo
1	в том что	4	9
2	и т д	22	8
3	на то что	4	8
4	не может быть	7	8
5	о том что	3	7
6	в то время	3	5
7	с одной стороны	4	5
8	само по себе	2	5
9	с другой стороны	5	5
10	в зависимости от	2	5
11	то время как	3	5
12	так же как	2	4
13	надо сказать что	3	3
14	точно так же	3	3
15	в отличие от	2	3
16	до сих пор	5	3
17	как будто бы	2	2
18	мы не можем	2	2
19	мы видим что	8	2
20	по этому поводу	2	2
21	не означает что	2	2
22	более или менее	5	2
23	то же самое	3	2
24	тем не менее	6	2
25	мы видели что	2	2
26	мы увидим что	5	2
27	вместе с тем	2	2
