N	2gram	Tiupa_Disk_2	EvropaiE
1	и в	16	37
2	в пределах	4	25
3	точки зрения	4	23
4	что в	5	21
5	не только	10	18
6	с точки	2	17
7	в то	5	16
8	то же	6	15
9	в своем	5	14
10	в качестве	16	14
11	же время	5	14
12	но и	11	14
13	и не	15	14
14	но в	11	14
15	в этом	16	12
16	в том	8	11
17	в области	2	11
18	так и	9	10
19	отнюдь не	6	9
20	прежде всего	7	9
21	не может	9	9
22	в себе	19	9
23	только в	3	9
24	одной стороны	4	8
25	в своей	6	8
26	с одной	4	8
27	между тем	2	8
28	как и	16	7
29	а также	8	7
30	с другой	5	7
31	также и	3	7
32	том что	10	6
33	стороны и	2	6
34	может быть	16	6
35	как бы	4	6
36	то что	5	6
37	и на	5	6
38	то есть	12	6
39	же как	2	5
40	в частности	12	5
41	столь же	3	5
42	не в	3	5
43	но не	7	5
44	со стороны	10	5
45	в той	2	5
46	тем самым	6	5
47	именно в	2	4
48	или иного	2	4
49	или иной	3	4
50	можно сказать	3	4
51	в ней	2	4
52	той или	3	4
53	не на	2	4
54	мира в	3	4
55	место в	2	3
56	этом отношении	4	3
57	никогда не	2	3
58	жизни в	3	3
59	в них	3	3
60	представляет собой	11	3
61	того же	2	3
62	не более	2	3
63	из них	3	3
64	не является	4	3
65	что и	2	3
66	время в	2	3
67	заключает в	2	3
68	как в	8	3
69	идет о	2	3
70	и для	2	3
71	и прежде	2	3
72	как на	3	3
73	в результате	2	3
74	потому что	4	3
75	в данном	7	3
76	о том	4	3
77	дело в	2	3
78	мира и	4	3
79	а не	14	2
80	в этих	3	2
81	в большинстве	2	2
82	и все	3	2
83	в одном	4	2
84	одном из	3	2
85	большей части	2	2
86	что на	2	2
87	не нужно	2	2
88	и того	3	2
89	и как	3	2
90	такой же	2	2
91	есть в	2	2
92	должна быть	2	2
93	или по	2	2
94	не к	2	2
95	по преимуществу	2	2
96	он не	3	2
97	в его	3	2
98	в котором	3	2
99	пожалуй и	2	2
100	в мире	11	2
101	жизни и	3	2
102	вместе с	2	2
103	данном случае	6	2
104	иначе говоря	3	2
105	что же	2	2
106	а в	2	2
107	более чем	2	2
108	и наконец	3	2
109	другой стороны	2	2
110	в своих	6	2
111	и с	2	2
112	могут быть	3	2
113	в этой	4	2
114	и то	4	2
115	по своей	6	2
116	как будто	3	2
117	далеко не	2	2
