N	2gram	Medvedev_F_2	Morfolog
1	может быть	23	52
2	и т	14	49
3	т д	5	47
4	и пр	21	40
5	таким образом	20	20
6	не может	14	17
7	т е	26	16
8	в этих	2	16
9	могут быть	6	15
10	с этим	5	14
11	и в	38	13
12	в этом	27	13
13	и др	3	12
14	так как	4	12
15	перед нами	2	11
16	связи с	13	11
17	прежде всего	15	9
18	так и	8	9
19	в связи	10	9
20	то же	6	9
21	и не	20	9
22	а не	6	9
23	с другой	3	8
24	по существу	7	8
25	что и	8	8
26	при помощи	2	8
27	в результате	6	8
28	в тех	2	7
29	и этим	2	7
30	в качестве	2	7
31	все же	8	7
32	или же	2	7
33	это не	2	6
34	не могут	7	6
35	и здесь	3	6
36	в том	11	6
37	но не	2	6
38	а в	6	6
39	если мы	5	5
40	и другие	2	5
41	во всех	5	5
42	как бы	4	5
43	один из	2	5
44	то что	6	5
45	или в	3	5
46	потому что	2	5
47	мы не	3	5
48	что в	7	4
49	и как	3	4
50	на котором	2	4
51	вовсе не	11	4
52	было бы	6	4
53	ни одна	2	4
54	не только	9	4
55	то это	3	4
56	в некоторых	4	4
57	как в	4	4
58	как мы	7	4
59	другой стороны	4	4
60	как и	9	4
61	там где	4	4
62	хотя и	3	4
63	тем что	8	4
64	точки зрения	8	4
65	с точки	7	4
66	на этом	2	4
67	его в	3	4
68	если в	3	4
69	ничего не	4	4
70	в других	7	4
71	сам он	2	3
72	независимо от	4	3
73	если бы	5	3
74	в какой	3	3
75	том что	2	3
76	но все	3	3
77	но это	2	3
78	что они	4	3
79	на нем	2	3
80	в целом	3	3
81	кроме того	2	3
82	в пределах	12	3
83	того чтобы	3	3
84	в сущности	4	3
85	как таковое	4	3
86	не происходит	2	3
87	во втором	7	3
88	он не	6	3
89	не является	3	3
90	в первом	7	3
91	ни в	2	3
92	но и	13	3
93	входит в	4	3
94	пр и	4	3
95	на самом	3	3
96	самом деле	8	3
97	и по	2	3
98	к нему	3	3
99	и для	5	3
100	из них	4	3
101	и ее	6	3
102	в то	5	3
103	если же	2	3
104	но в	4	3
105	совсем не	2	2
106	и более	2	2
107	с тем	11	2
108	хотя бы	6	2
109	эти функции	2	2
110	та же	2	2
111	что эта	2	2
112	состоит в	2	2
113	приходим к	2	2
114	к этому	4	2
115	что он	5	2
116	и к	4	2
117	на первый	2	2
118	в в	2	2
119	и становятся	2	2
120	то в	2	2
121	поставить вопрос	2	2
122	только в	6	2
123	от него	2	2
124	тем и	2	2
125	как таковая	2	2
126	в большинстве	4	2
127	для него	7	2
128	и функции	2	2
129	с теми	2	2
130	в ином	3	2
131	оно не	4	2
132	быть и	3	2
133	без всякой	3	2
134	вопроса о	2	2
135	как например	2	2
136	и только	5	2
137	все эти	6	2
138	того что	3	2
139	для того	3	2
140	уже не	7	2
141	тем же	3	2
142	не имеет	2	2
143	и иных	2	2
144	и его	21	2
145	как их	2	2
146	является в	2	2
147	этот вопрос	2	2
148	мы приходим	2	2
149	здесь не	4	2
150	большинстве случаев	3	2
151	сказать что	2	2
152	как это	2	2
153	это было	3	2
