N	2gram	Propp_Morf_1	Problema
1	и не	12	42
2	и в	13	38
3	не может	14	27
4	может быть	52	26
5	как бы	3	22
6	по отношению	4	21
7	отношению к	4	19
8	в этом	14	15
9	и т	41	14
10	независимо от	3	13
11	прежде всего	9	13
12	только в	2	13
13	но не	4	12
14	во всех	4	11
15	и для	2	11
16	к нему	3	10
17	таким образом	21	10
18	но и	4	9
19	не имеет	2	9
20	его в	2	9
21	не только	4	9
22	в том	6	8
23	и как	5	8
24	и др	10	8
25	точки зрения	2	8
26	было бы	3	8
27	то что	8	8
28	входит в	2	8
29	что в	8	7
30	с другой	8	7
31	не в	3	7
32	между тем	5	7
33	как и	3	7
34	еще не	3	7
35	как мы	6	7
36	не всегда	9	6
37	в пределах	3	6
38	а в	7	6
39	все же	7	6
40	самом деле	4	6
41	с точки	2	6
42	мы можем	2	6
43	и этим	5	6
44	там где	5	6
45	ничего не	4	6
46	то же	7	5
47	это не	6	5
48	все эти	2	5
49	далеко не	5	5
50	в большинстве	3	5
51	так и	6	5
52	не на	2	5
53	большинстве случаев	3	5
54	а не	11	5
55	могут быть	16	5
56	не менее	5	4
57	в нашем	3	4
58	на самом	4	4
59	другой стороны	4	4
60	в форме	6	4
61	в других	3	4
62	сказать что	2	4
63	в то	3	4
64	о том	2	4
65	но в	2	4
66	не с	2	4
67	как в	3	4
68	хотя бы	4	4
69	можно было	2	4
70	здесь не	2	4
71	мы будем	3	3
72	себя и	2	3
73	то ни	3	3
74	в тех	6	3
75	тем не	5	3
76	но это	6	3
77	несмотря на	4	3
78	например в	2	3
79	хотя и	3	3
80	не является	3	3
81	и тем	2	3
82	в целом	3	3
83	также и	4	3
84	иных случаях	2	3
85	ни было	2	3
86	если бы	2	3
87	ясно что	5	3
88	и к	4	3
89	том что	4	3
90	говорить о	3	3
91	бы то	3	3
92	мы увидим	8	3
93	не будем	4	3
94	он не	3	3
95	оно не	2	3
96	на него	3	3
97	в иных	4	3
98	приводит к	2	3
99	материала а	2	3
100	на этом	3	2
101	не могут	4	2
102	ни к	2	2
103	и другие	6	2
104	и есть	2	2
105	в частности	2	2
106	в этих	13	2
107	в какой	3	2
108	чтобы его	2	2
109	на то	2	2
110	здесь же	3	2
111	можно сказать	2	2
112	как таковой	2	2
113	смысле слова	4	2
114	и пр	37	2
115	случае не	3	2
116	он может	2	2
117	где оно	2	2
118	можно сделать	2	2
119	в связи	9	2
120	здесь мы	3	2
121	и что	2	2
122	того что	3	2
123	и здесь	5	2
124	но как	2	2
125	в начале	3	2
126	мы должны	3	2
127	в россии	2	2
128	как это	3	2
129	оно может	3	2
130	мы имеем	9	2
131	с его	2	2
132	он должен	2	2
133	не все	6	2
134	к этому	3	2
135	вовсе не	4	2
136	на первый	3	2
137	что он	4	2
138	у нас	2	2
139	по существу	12	2
140	этот момент	3	2
141	связи с	10	2
142	одна из	4	2
143	она не	2	2
144	ни одна	4	2
145	в некоторых	3	2
146	что и	7	2
147	нами в	2	2
148	того чтобы	3	2
149	для того	2	2
150	из которых	3	2
151	к чему	3	2
152	или в	4	2
153	тем что	4	2
154	в виде	2	2
155	и ее	3	2
156	в другом	2	2
157	показать что	4	2
158	в таких	2	2
159	без всякой	2	2
160	что эта	2	2
