N	2gram	Bakhtin_Fr_6	OGranits
1	и в	41	13
2	и его	13	12
3	прежде всего	10	9
4	не может	4	8
5	и не	3	8
6	может быть	2	8
7	и их	3	7
8	и т.п	19	7
9	точки зрения	2	7
10	в его	7	7
11	таким образом	17	6
12	не только	10	6
13	то что	10	6
14	только в	3	6
15	как бы	7	6
16	все же	4	5
17	с точки	2	5
18	и наконец	4	5
19	то же	5	4
20	в своей	2	4
21	все это	11	4
22	лишь в	2	4
23	мы не	2	4
24	было бы	3	4
25	вполне понятно	2	4
26	но в	8	4
27	связана с	2	3
28	что в	7	3
29	никогда не	8	3
30	но и	13	3
31	так и	5	3
32	понятно что	2	3
33	и все	9	3
34	в одном	5	3
35	превращается в	2	3
36	самом деле	4	3
37	в ее	5	3
38	тела и	15	3
39	как и	7	3
40	не в	4	3
41	за пределы	2	3
42	и то	2	3
43	в себе	5	3
44	в искусстве	3	3
45	говорить о	2	3
46	с этим	3	3
47	и для	3	3
48	так как	10	3
49	т.п и	2	3
50	еще в	5	2
51	и др	10	2
52	уже в	4	2
53	с этой	3	2
54	в нем	16	2
55	и отчасти	2	2
56	связанных с	3	2
57	данном случае	2	2
58	а не	2	2
59	другой стороны	2	2
60	с другой	4	2
61	от всех	2	2
62	не на	2	2
63	телом и	12	2
64	в них	7	2
65	а в	4	2
66	с одной	4	2
67	все эти	11	2
68	вовсе не	7	2
69	те же	3	2
70	роль в	4	2
71	в книге	3	2
72	конечно в	2	2
73	как в	4	2
74	в чем	3	2
75	громадную роль	2	2
76	в том	2	2
77	так же	5	2
78	не мог	3	2
79	том что	7	2
80	мы видим	6	2
81	с помощью	6	2
82	в данном	3	2
83	что они	2	2
84	в этом	12	2
85	тем что	5	2
86	между тем	2	2
87	при этом	3	2
88	в другом	4	2
89	из тела	2	2
90	во всем	5	2
91	тот же	4	2
92	более того	4	2
93	одной стороны	4	2
94	кажется что	2	2
95	мы уже	18	2
96	в целях	3	2
97	в области	2	2
98	в самом	10	2
99	там где	5	2
100	бы в	2	2
101	изобразительных искусствах	3	2
102	только его	2	2
103	между собою	5	2
104	в ней	4	2
105	а также	5	2
