N	2gram	Tiupa_Disk_1	KulturaY
1	и в	16	23
2	точки зрения	3	23
3	в том	23	22
4	не только	28	17
5	в этом	15	16
6	может быть	17	14
7	что в	4	13
8	в самом	3	13
9	не менее	2	12
10	потому что	4	12
11	том что	19	11
12	а не	22	11
13	того что	3	11
14	в его	7	11
15	и не	11	10
16	прежде всего	11	9
17	еще не	14	9
18	хотя бы	3	9
19	таким образом	3	9
20	лишь в	4	8
21	уже не	4	8
22	в виду	2	8
23	с другой	10	7
24	или иной	5	7
25	и что	2	7
26	в данном	5	7
27	сказать что	3	7
28	по себе	3	6
29	что и	3	6
30	что он	4	6
31	в силу	5	6
32	при этом	13	6
33	и тем	2	6
34	так и	8	6
35	в их	5	6
36	не может	9	6
37	то же	7	6
38	могут быть	4	6
39	связи с	4	6
40	только в	7	6
41	о том	8	6
42	что же	2	5
43	в рамках	5	5
44	и есть	2	5
45	как и	16	5
46	не в	7	5
47	хотя и	2	5
48	как бы	5	5
49	все же	3	5
50	как мы	2	5
51	а в	5	5
52	также и	3	5
53	тем что	3	5
54	той или	3	5
55	далеко не	10	5
56	в первом	3	5
57	слова в	2	4
58	один из	3	4
59	а также	8	4
60	в целом	4	4
61	того же	3	4
62	одной стороны	9	4
63	столь же	3	4
64	в сущности	2	4
65	в своей	5	4
66	том чтобы	2	4
67	и о	4	4
68	в ее	3	4
69	точка зрения	2	4
70	то что	5	4
71	данном случае	2	4
72	как в	10	4
73	целый ряд	2	4
74	в своем	6	4
75	не было	7	4
76	с одной	9	4
77	заключается в	3	4
78	что не	4	4
79	между тем	4	4
80	уже в	2	3
81	отнюдь не	8	3
82	это не	3	3
83	именно в	3	3
84	к тому	5	3
85	и к	4	3
86	но как	2	3
87	но не	11	3
88	в данной	3	3
89	на мой	2	3
90	в какой	2	3
91	не есть	2	3
92	отношение к	4	3
93	зрения на	3	3
94	в процессе	5	3
95	но и	14	3
96	по отношению	9	3
97	другой стороны	3	3
98	тому же	5	3
99	а с	5	3
100	они не	2	3
101	речи как	2	3
102	в ряду	2	3
103	в которых	4	3
104	в то	3	3
105	того или	2	3
106	мой взгляд	2	3
107	так сказать	2	2
108	том числе	2	2
109	о чем	2	2
110	в частности	9	2
111	на том	2	2
112	нельзя не	2	2
113	не как	4	2
114	одного и	2	2
115	в одном	2	2
116	это в	2	2
117	не более	2	2
118	в тех	2	2
119	можно сказать	5	2
120	к его	2	2
121	состоит в	9	2
122	и того	3	2
123	и как	6	2
124	в различных	2	2
125	более или	2	2
126	по своему	3	2
127	тот или	2	2
128	в качестве	34	2
129	за пределы	2	2
130	к другому	2	2
131	иначе говоря	2	2
132	в значении	2	2
133	в котором	5	2
134	однако в	3	2
135	говоря уже	2	2
136	не с	3	2
137	отношению к	9	2
138	в пределах	2	2
139	своего рода	8	2
140	когда он	2	2
141	не говоря	2	2
142	дело не	2	2
143	понятие о	3	2
144	уже о	2	2
145	или менее	2	2
146	мысли и	2	2
147	и без	2	2
148	внимание на	4	2
149	отличается от	2	2
150	языка и	2	2
151	в отличие	5	2
152	как к	2	2
153	в особенности	4	2
154	для обозначения	3	2
155	более чем	2	2
156	на себя	2	2
157	во всяком	2	2
158	на протяжении	2	2
159	тому как	3	2
160	на этом	2	2
161	отличие от	5	2
162	мы имеем	2	2
163	но в	8	2
