N	2gram	Vygotskiy__1	Russkaja
1	не может	12	22
2	и не	9	19
3	в том	24	17
4	в этом	17	17
5	и в	23	14
6	с другом	4	14
7	друг с	4	14
8	то что	17	13
9	таким образом	26	11
10	то же	8	11
11	точки зрения	26	11
12	же время	2	10
13	но и	14	10
14	в то	7	10
15	том что	21	9
16	не только	16	9
17	в себе	6	9
18	с точки	18	9
19	может быть	14	9
20	во всяком	3	9
21	прежде всего	10	8
22	того чтобы	17	8
23	как на	4	8
24	к тому	4	7
25	и если	3	7
26	самом деле	3	7
27	в данном	2	7
28	мы должны	5	7
29	о том	6	7
30	и с	9	7
31	если бы	5	6
32	что он	7	6
33	и к	4	6
34	и при	2	6
35	с тем	7	6
36	для него	2	6
37	для того	15	6
38	для всех	4	6
39	всяком случае	3	6
40	все это	6	6
41	в своем	3	6
42	в своих	5	6
43	между собой	5	5
44	хотя бы	4	5
45	он должен	2	5
46	вопрос о	7	5
47	на то	5	5
48	и на	8	5
49	при этом	4	5
50	до сих	4	5
51	было бы	4	5
52	в своей	4	5
53	он не	5	5
54	никогда не	2	5
55	сих пор	4	5
56	во всех	3	5
57	по существу	4	5
58	из которых	3	5
59	а в	2	5
60	потому что	6	5
61	только в	6	5
62	между тем	9	5
63	но не	4	4
64	что в	14	4
65	тогда когда	3	4
66	как и	14	4
67	к вопросу	2	4
68	как бы	11	4
69	себе и	2	4
70	все же	3	4
71	жизни и	2	4
72	вместе с	9	4
73	от того	6	4
74	в их	3	4
75	приводит к	4	4
76	точку зрения	2	4
77	не в	4	4
78	можно было	3	4
79	и то	3	4
80	в этой	7	4
81	во всем	3	4
82	в его	14	4
83	и т.д	5	4
84	так как	7	4
85	может не	3	3
86	что это	3	3
87	именно в	6	3
88	из этих	3	3
89	в конце	2	3
90	что все	4	3
91	главным образом	2	3
92	что может	5	3
93	всех этих	2	3
94	и как	5	3
95	в другом	7	3
96	лишь в	6	3
97	что они	3	3
98	должно быть	2	3
99	в качестве	9	3
100	несмотря на	2	3
101	в самом	7	3
102	мы говорили	3	3
103	том чтобы	3	3
104	и потому	2	3
105	для этого	5	3
106	данном случае	2	3
107	что оно	3	3
108	в значительной	2	3
109	того что	15	3
110	ко всем	3	3
111	что для	5	3
112	приходит к	3	3
113	тем что	6	3
114	в виде	2	3
115	говорить о	2	3
116	связи с	3	3
117	о котором	2	3
118	из этого	5	3
119	только для	3	2
120	а с	4	2
121	и более	5	2
122	в частности	2	2
123	друг другу	3	2
124	и от	3	2
125	с этим	6	2
126	этот вопрос	3	2
127	представить себе	5	2
128	ясно что	2	2
129	по себе	5	2
130	ни в	4	2
131	уже не	2	2
132	из всех	2	2
133	собой все	3	2
134	указывает на	2	2
135	что с	2	2
136	она не	3	2
137	ничего другого	2	2
138	от друга	3	2
139	в котором	4	2
140	речь идет	2	2
141	для себя	4	2
142	и тем	6	2
143	не к	2	2
144	друг от	3	2
145	ее в	2	2
146	на основании	5	2
147	тому что	5	2
148	целый ряд	4	2
149	по отношению	7	2
150	отношения к	3	2
151	если не	3	2
152	в течение	2	2
153	все эти	4	2
154	и вот	2	2
155	и что	5	2
156	тем самым	5	2
157	а не	3	2
158	факт что	3	2
159	стоит только	4	2
160	в единое	2	2
161	и наконец	2	2
162	и даже	2	2
163	так же	16	2
164	и те	2	2
165	на которой	2	2
166	том же	2	2
167	в результате	4	2
168	их в	4	2
169	в силу	6	2
170	мы можем	6	2
171	в этих	2	2
172	в области	3	2
173	но в	5	2
