N	2gram	Propp_Morf_1	Komedia
1	и в	13	22
2	т е	21	13
3	том что	4	12
4	в том	6	11
5	но и	4	11
6	не только	4	10
7	из них	3	10
8	в то	3	10
9	как и	3	9
10	и т	41	9
11	может быть	52	9
12	таким образом	21	8
13	и не	12	8
14	о том	2	8
15	в этой	2	7
16	что в	8	6
17	что он	4	6
18	к тому	4	6
19	и по	2	6
20	то же	7	6
21	не в	3	6
22	а в	7	6
23	в которой	3	6
24	с другой	8	5
25	во время	6	5
26	прежде всего	9	5
27	один из	5	5
28	на его	4	5
29	так и	6	5
30	как в	3	5
31	другой стороны	4	5
32	то время	3	5
33	потому что	3	5
34	между тем	5	5
35	к этому	3	4
36	ясно что	5	4
37	несмотря на	4	4
38	как мы	6	4
39	в в	2	4
40	же в	2	4
41	в другом	2	4
42	что они	2	4
43	в качестве	5	4
44	а также	4	4
45	что и	7	4
46	на него	3	4
47	т д	39	4
48	тем что	4	4
49	время как	3	4
50	в результате	7	4
51	действующих лиц	11	4
52	точки зрения	2	4
53	из его	2	4
54	так как	16	4
55	но в	2	4
56	мы можем	2	4
57	главным образом	4	3
58	не менее	5	3
59	однако в	2	3
60	чаще всего	7	3
61	в образе	4	3
62	вопрос о	7	3
63	на то	2	3
64	в тех	6	3
65	у нас	2	3
66	и как	5	3
67	по своему	2	3
68	в начале	3	3
69	в частности	2	3
70	хотя и	3	3
71	он не	3	3
72	см ниже	2	3
73	все же	7	3
74	отношению к	4	3
75	в целом	3	3
76	так же	3	3
77	по отношению	4	3
78	можно сделать	2	3
79	того как	2	3
80	здесь мы	3	3
81	мы не	8	3
82	в этом	14	3
83	в виде	2	3
84	могут быть	16	3
85	и ее	3	3
86	только в	2	3
87	его в	2	3
88	как это	3	3
89	ничего не	4	3
90	и здесь	5	2
91	ни было	2	2
92	одному из	3	2
93	независимо от	3	2
94	то ни	3	2
95	вовсе не	4	2
96	тем не	5	2
97	одна из	4	2
98	на этом	3	2
99	но не	4	2
100	совсем не	3	2
101	а то	3	2
102	еще не	3	2
103	было бы	3	2
104	большей частью	4	2
105	всяком случае	2	2
106	и тем	2	2
107	то что	8	2
108	бы то	3	2
109	наряду с	5	2
110	со стороны	3	2
111	или менее	2	2
112	вслед за	5	2
113	даже не	3	2
114	который в	2	2
115	только что	2	2
116	в сущности	3	2
117	не может	14	2
118	и таким	2	2
119	в других	3	2
120	в форме	6	2
121	из которых	3	2
122	к нему	3	2
123	право на	2	2
124	или в	4	2
125	путь к	2	2
126	но это	6	2
127	во всяком	2	2
128	ту же	2	2
129	как будто	2	2
130	если они	2	2
131	тех же	4	2
132	вывод что	2	2
133	или по	2	2
