N	2gram	Tiupa_Lite_1	Myslijsy
1	потому что	3	52
2	то есть	6	42
3	и в	8	39
4	может быть	13	27
5	в том	16	26
6	только в	8	25
7	что в	3	22
8	не может	5	22
9	а не	16	21
10	не только	24	21
11	в нем	2	20
12	но и	17	20
13	и не	12	18
14	том что	14	16
15	не в	8	15
16	в этом	12	15
17	отношению к	2	13
18	так и	4	13
19	по отношению	3	13
20	в себе	7	13
21	таким образом	3	13
22	было бы	2	12
23	в душе	3	11
24	а потому	2	10
25	что не	2	10
26	не есть	2	10
27	то что	10	10
28	как в	5	10
29	могут быть	2	9
30	как и	6	9
31	тем что	2	9
32	но в	3	9
33	но не	4	8
34	со стороны	4	8
35	того что	6	8
36	в слове	2	8
37	точки зрения	6	8
38	с другой	3	7
39	это не	4	7
40	то и	2	7
41	не менее	7	6
42	тем не	2	6
43	человеческого духа	2	6
44	еще не	4	6
45	как бы	7	6
46	все же	4	6
47	бы не	3	6
48	то же	5	6
49	при этом	19	6
50	несмотря на	3	5
51	в его	7	5
52	то это	2	5
53	а в	3	5
54	во втором	2	5
55	друг друга	4	5
56	и его	4	5
57	между тем	2	5
58	никогда не	4	4
59	однако в	2	4
60	тем самым	5	4
61	от языка	2	4
62	прежде всего	11	4
63	а только	2	4
64	субъекта и	3	4
65	самого себя	3	4
66	же время	5	4
67	для него	2	4
68	к тому	2	4
69	в своих	4	4
70	не было	3	4
71	и даже	3	4
72	тому как	2	4
73	из этих	2	4
74	в то	5	4
75	столь же	4	3
76	не могло	2	3
77	в жизни	6	3
78	в этой	4	3
79	в своем	11	3
80	того же	2	3
81	одной стороны	2	3
82	по поводу	2	3
83	только на	2	3
84	все более	2	3
85	в своей	4	3
86	относится к	2	3
87	для себя	5	3
88	и тем	4	3
89	в мире	2	3
90	связи с	6	3
91	в самом	3	3
92	с одной	2	3
93	но при	2	3
94	не мог	3	3
95	той же	3	3
96	что для	2	3
97	должна быть	2	3
98	и то	2	3
99	во всяком	3	3
100	одно из	3	3
101	подобно тому	2	3
102	в сознании	2	3
103	с точки	2	3
104	и есть	3	2
105	по этому	2	2
106	все они	2	2
107	нуждается в	3	2
108	с этой	5	2
109	одного из	3	2
110	сознания в	12	2
111	а как	2	2
112	же в	5	2
113	жизни и	3	2
114	уже не	7	2
115	только то	2	2
116	для них	2	2
117	мы в	2	2
118	в сущности	2	2
119	за пределы	2	2
120	одним из	5	2
121	в виду	3	2
122	чтобы не	2	2
123	для нее	2	2
124	в целом	8	2
125	деятельности в	4	2
126	в их	3	2
127	тем более	2	2
128	для этого	4	2
129	и только	2	2
130	тогда как	13	2
131	этой цели	2	2
132	и того	2	2
133	из того	2	2
134	тем же	3	2
135	хотя бы	2	2
136	мысль в	2	2
137	но без	2	2
138	во многих	2	2
139	том же	3	2
140	то он	2	2
141	духовной жизни	4	2
142	как будто	2	2
143	о том	2	2
144	дело в	3	2
145	нет ничего	2	2
146	эта мысль	2	2
