N	2gram	Ircho_Kome_2	Problema
1	в его	4	43
2	и не	14	42
3	и в	26	38
4	не может	3	27
5	может быть	11	26
6	как бы	2	22
7	по отношению	3	21
8	отнюдь не	2	19
9	отношению к	3	19
10	и с	5	17
11	и его	12	16
12	в нем	6	15
13	в этом	10	15
14	и т	2	14
15	независимо от	5	13
16	прежде всего	4	13
17	только в	4	13
18	т п	2	13
19	но не	3	12
20	ни в	5	11
21	во всех	3	11
22	и для	4	11
23	к нему	3	10
24	отношение к	2	10
25	в их	3	10
26	таким образом	6	10
27	но и	10	9
28	не имеет	3	9
29	его в	4	9
30	не только	7	9
31	место в	4	8
32	в том	11	8
33	точки зрения	4	8
34	было бы	8	8
35	то что	6	8
36	что в	9	7
37	с другой	2	7
38	не в	2	7
39	в самом	4	7
40	между тем	4	7
41	как и	4	7
42	еще не	6	7
43	в своей	3	7
44	как мы	4	7
45	не всегда	2	6
46	а в	3	6
47	все же	4	6
48	дело с	3	6
49	мы можем	3	6
50	то же	3	5
51	в своем	6	5
52	это не	2	5
53	рядом с	2	5
54	в них	4	5
55	так и	12	5
56	в отличие	2	5
57	отличие от	2	5
58	не менее	4	4
59	в нашем	2	4
60	в ней	3	4
61	в виду	2	4
62	в других	2	4
63	от всех	2	4
64	с ними	2	4
65	в то	6	4
66	о том	6	4
67	но в	3	4
68	в ее	2	4
69	как в	3	4
70	хотя бы	2	4
71	можно было	4	4
72	то ни	2	3
73	и от	4	3
74	в тех	3	3
75	да и	3	3
76	же время	3	3
77	одной стороны	2	3
78	например в	3	3
79	хотя и	4	3
80	не является	2	3
81	в целом	4	3
82	все это	3	3
83	с одной	2	3
84	и на	7	3
85	ни было	2	3
86	если бы	9	3
87	и все	2	3
88	этом смысле	2	3
89	ясно что	8	3
90	и к	2	3
91	том что	9	3
92	говорить о	2	3
93	бы то	2	3
94	одной из	4	3
95	он не	2	3
96	нет и	2	3
97	в мире	2	3
98	и это	2	3
99	едва ли	14	3
100	чем в	2	2
101	на этом	2	2
102	и другие	2	2
103	и есть	2	2
104	в частности	4	2
105	от ее	2	2
106	в этих	4	2
107	в какой	2	2
108	столь же	9	2
109	в каждом	3	2
110	не более	2	2
111	по поводу	3	2
112	что это	4	2
113	и у	2	2
114	не вполне	2	2
115	в котором	3	2
116	в связи	3	2
117	не было	3	2
118	в самой	3	2
119	и что	2	2
120	и здесь	6	2
121	не следует	2	2
122	к его	2	2
123	в начале	4	2
124	в истории	5	2
125	как это	4	2
126	мы имеем	2	2
127	с его	5	2
128	и во	2	2
129	к этому	5	2
130	вовсе не	2	2
131	что он	5	2
132	связи с	3	2
133	одна из	2	2
134	здесь в	3	2
135	ни одна	2	2
136	что и	7	2
137	себя в	3	2
138	в двух	6	2
139	человека в	3	2
140	того чтобы	6	2
141	для того	5	2
142	из которых	3	2
143	или в	3	2
144	тем что	3	2
145	и ее	2	2
