N	2gram	Trubetskoy_1	KulturaY
1	и т	3	54
2	и в	14	23
3	точки зрения	11	23
4	в том	17	22
5	не только	9	17
6	было бы	5	16
7	в этом	17	16
8	с точки	9	16
9	в области	2	14
10	может быть	9	14
11	самом деле	7	14
12	что в	4	13
13	в самом	3	13
14	для того	6	12
15	потому что	5	12
16	вопрос о	5	11
17	том что	9	11
18	а не	2	11
19	того что	3	11
20	в его	4	11
21	того чтобы	8	11
22	можно было	4	11
23	и не	19	10
24	прежде всего	8	9
25	еще не	3	9
26	хотя бы	5	9
27	таким образом	11	9
28	так как	4	9
29	если бы	6	8
30	лишь в	3	8
31	до сих	5	8
32	сих пор	5	8
33	уже не	2	8
34	как на	8	8
35	или иной	5	7
36	и что	2	7
37	должно быть	3	7
38	в данном	7	7
39	все эти	2	7
40	с тем	6	6
41	для этого	3	6
42	по себе	2	6
43	что и	3	6
44	что он	6	6
45	в силу	2	6
46	при этом	5	6
47	и тем	2	6
48	в их	4	6
49	не может	22	6
50	то же	11	6
51	говорить о	3	6
52	связи с	3	6
53	только в	5	6
54	о том	7	6
55	что же	4	5
56	не могут	4	5
57	и есть	2	5
58	как и	4	5
59	не в	4	5
60	совершенно не	2	5
61	как бы	4	5
62	все же	4	5
63	от того	4	5
64	а в	5	5
65	но это	2	5
66	тем что	3	5
67	той или	3	5
68	из этих	3	5
69	и должно	2	5
70	том случае	4	4
71	были бы	2	4
72	тому что	2	4
73	ясно что	2	4
74	этом случае	3	4
75	для нас	2	4
76	в своей	5	4
77	том чтобы	3	4
78	и о	2	4
79	то что	13	4
80	данном случае	3	4
81	целый ряд	2	4
82	в своем	6	4
83	не было	3	4
84	тем самым	2	4
85	что такое	2	4
86	в таком	2	4
87	между тем	5	4
88	тогда когда	4	4
89	а лишь	4	3
90	и более	2	3
91	что это	3	3
92	отнюдь не	7	3
93	на самом	6	3
94	должна быть	2	3
95	именно в	3	3
96	или иного	2	3
97	к тому	7	3
98	и к	6	3
99	ни в	2	3
100	по существу	5	3
101	то в	3	3
102	но не	4	3
103	но для	2	3
104	он не	5	3
105	но если	3	3
106	речь идет	2	3
107	то это	3	3
108	не есть	3	3
109	время в	2	3
110	но и	10	3
111	по отношению	2	3
112	а с	2	3
113	и вот	2	3
114	естественно что	2	3
115	в ней	2	3
116	не так	2	3
117	и с	7	3
118	этот вопрос	2	3
119	в результате	2	3
120	в то	10	3
121	и только	5	3
122	она не	2	3
123	мы должны	7	3
124	того или	2	3
125	отметить что	2	3
126	всю эту	2	2
127	только для	2	2
128	все это	6	2
129	в частности	2	2
130	на том	3	2
131	все они	3	2
132	точку зрения	4	2
133	что все	3	2
134	это в	2	2
135	главным образом	3	2
136	сама по	2	2
137	состоит в	2	2
138	и как	3	2
139	чтобы понять	2	2
140	и при	6	2
141	что они	3	2
142	к вопросу	4	2
143	более или	4	2
144	тем чтобы	3	2
145	он будет	4	2
146	и тот	2	2
147	и если	7	2
148	в качестве	3	2
149	конечно не	5	2
150	не о	2	2
151	в таких	2	2
152	в котором	2	2
153	его в	4	2
154	но мы	3	2
155	в некоторых	2	2
156	вместе с	4	2
157	или менее	4	2
158	отличается от	2	2
159	при котором	3	2
160	от нас	2	2
161	не просто	2	2
162	а потому	5	2
163	путь к	4	2
164	именно на	2	2
165	а во-вторых	2	2
166	в корне	4	2
167	так же	2	2
168	на себя	2	2
169	во всяком	9	2
170	остается в	2	2
171	если же	2	2
172	в этих	2	2
173	в россии	6	2
174	она может	3	2
175	но в	2	2
