N	3gram	Tiupa_Lite_3	Analitik
1	не может быть	3	16
2	в том что	4	9
3	в то же	7	8
4	в том чтобы	2	7
5	в отличие от	5	6
6	то же время	7	6
7	той или иной	2	6
8	по отношению к	4	5
9	к тому же	5	4
10	с точки зрения	3	4
11	но и не	2	4
12	то ни было	2	3
13	в том числе	3	3
14	бы то ни	2	3
15	из того что	2	3
16	состоит в том	2	3
17	подобно тому как	2	3
18	с одной стороны	4	3
19	себя в другом	2	3
20	о том что	4	3
21	в данном случае	4	2
22	в самом деле	2	2
23	начале х годов	3	2
24	в этом отношении	5	2
25	в начале х	3	2
26	то же самое	2	2
27	другого в себе	2	2
28	но и в	2	2
29	с другой стороны	2	2
