N	2gram	Tiupa_Vved_1	Myshleni
1	в том	10	42
2	том что	7	35
3	таким образом	4	25
4	в этом	21	24
5	в качестве	8	21
6	и в	13	20
7	что в	3	19
8	в основе	3	17
9	то же	5	16
10	то что	6	15
11	не только	20	15
12	как мы	3	13
13	с другой	5	12
14	при этом	26	12
15	потому что	5	12
16	может быть	18	12
17	в целом	3	11
18	в его	4	11
19	того что	6	10
20	в себе	5	10
21	только в	6	10
22	слова в	2	9
23	одной стороны	5	9
24	но и	19	9
25	другой стороны	2	9
26	с одной	5	9
27	как и	11	9
28	что и	2	9
29	и не	12	8
30	и тем	2	8
31	в результате	3	8
32	было бы	4	8
33	и более	3	7
34	как бы	4	7
35	этом отношении	4	7
36	что мы	2	7
37	в своей	5	7
38	самом деле	3	7
39	тем самым	5	7
40	а не	15	7
41	тем что	2	7
42	могут быть	4	7
43	к тому	6	6
44	тому же	4	6
45	такого рода	16	6
46	мы видели	2	6
47	в самом	2	6
48	не может	7	6
49	те же	2	6
50	и на	3	6
51	по своей	3	6
52	в силу	2	6
53	можно было	2	6
54	перед нами	6	5
55	в частности	13	5
56	никогда не	4	5
57	целый ряд	2	5
58	это не	6	5
59	что такое	18	5
60	не является	3	5
61	если бы	7	5
62	и его	5	5
63	между собой	2	5
64	и к	2	5
65	все же	6	5
66	и того	2	5
67	о том	5	5
68	так и	8	5
69	как в	4	5
70	мы можем	2	5
71	в нашем	6	4
72	в своем	5	4
73	в ходе	2	4
74	для нас	2	4
75	обратимся к	2	4
76	как он	2	4
77	в сознании	4	4
78	и с	2	4
79	состоит в	10	4
80	к этому	2	4
81	по выражению	2	4
82	по своему	2	4
83	в речи	2	4
84	не в	6	4
85	и для	3	4
86	в области	3	4
87	не менее	4	3
88	в этих	3	3
89	в какой	4	3
90	и от	2	3
91	один из	3	3
92	со стороны	5	3
93	к которому	2	3
94	но в	6	3
95	отнюдь не	7	3
96	в настоящем	2	3
97	бы в	3	3
98	представляет собой	15	3
99	но не	5	3
100	наряду с	2	3
101	приводит к	2	3
102	внимание на	3	3
103	место в	2	2
104	должна быть	2	2
105	прежде всего	7	2
106	что на	2	2
107	мы и	2	2
108	высшей степени	2	2
109	свою очередь	4	2
110	в свою	4	2
111	для него	3	2
112	вслед за	2	2
113	том чтобы	2	2
114	одним из	5	2
115	в ней	4	2
116	в нем	5	2
117	данном случае	6	2
118	в отличие	2	2
119	не имеет	2	2
120	а в	6	2
121	также и	4	2
122	в данном	13	2
123	из этих	3	2
124	в начале	3	2
125	их в	2	2
126	мы имеем	5	2
127	между двумя	3	2
128	но они	2	2
129	которая в	3	2
130	представить себе	2	2
131	еще не	7	2
132	и сами	2	2
133	в данной	2	2
134	никак не	2	2
135	в современной	3	2
136	далеко не	4	2
137	а также	8	2
138	ли не	2	2
139	и т.п	9	2
140	тогда как	10	2
141	а с	2	2
142	в той	4	2
143	может служить	4	2
144	в слове	3	2
145	в высшей	2	2
146	тому как	2	2
147	подобно тому	2	2
148	и т.д	5	2
149	как оно	2	2
150	здесь не	2	2
151	едва ли	3	2
152	отличие от	2	2
