N	2gram	Losev_Dial_3	UchenyiS
1	и в	24	14
2	а не	26	10
3	не только	23	10
4	и не	27	8
5	прежде всего	8	8
6	то что	14	7
7	в этом	8	7
8	не может	19	7
9	может быть	13	6
10	хотя бы	4	5
11	перестает быть	2	5
12	все это	6	5
13	и только	6	5
14	то же	6	5
15	но и	9	4
16	в их	2	4
17	конечно не	4	4
18	с другой	4	4
19	что такое	21	4
20	только к	2	3
21	но в	2	3
22	как и	7	3
23	и то	4	3
24	все же	3	3
25	и формы	2	3
26	в частности	2	3
27	бы то	2	3
28	для этого	2	3
29	же время	3	3
30	другой стороны	2	3
31	для него	4	3
32	это не	4	3
33	в то	5	3
34	было бы	5	3
35	не о	2	3
36	у нас	4	3
37	тех или	2	2
38	том что	8	2
39	но не	2	2
40	в том	5	2
41	по существу	2	2
42	мы не	5	2
43	с его	2	2
44	не есть	54	2
45	крайней мере	5	2
46	не в	3	2
47	и для	2	2
48	но это	5	2
49	мы и	4	2
50	должна быть	6	2
51	если бы	6	2
52	нас в	2	2
53	только в	5	2
54	и с	6	2
55	но даже	3	2
56	тем что	3	2
57	могут быть	2	2
58	даже и	7	2
59	именно как	3	2
60	что он	13	2
61	и у	2	2
62	в себе	2	2
63	как раз	7	2
64	что мы	8	2
65	что все	14	2
66	если не	3	2
67	ни от	4	2
68	в самом	7	2
69	не могут	4	2
70	по себе	20	2
71	фактов и	2	2
72	превращается в	6	2
73	ничего не	17	2
74	самом деле	6	2
75	по крайней	5	2
76	что она	9	2
77	и является	2	2
78	что и	6	2
79	в его	2	2
80	на первый	4	2
81	таким образом	13	2
82	это было	3	2
83	как таковой	2	2
