N	2gram	Nazirov_Tr_1	Problemy
1	и в	18	46
2	то есть	3	40
3	и не	7	27
4	может быть	7	23
5	как бы	7	19
6	не может	5	19
7	в нем	4	17
8	у достоевского	5	16
9	в этом	9	16
10	не только	8	14
11	перед нами	2	12
12	но и	4	12
13	как и	5	12
14	и на	7	11
15	в одном	2	11
16	не в	2	10
17	прежде всего	4	9
18	в том	2	9
19	в самом	2	9
20	и все	4	9
21	в его	3	9
22	достоевского в	3	8
23	романах достоевского	2	7
24	и с	7	7
25	еще не	4	7
26	в себе	4	7
27	никогда не	2	6
28	ни в	2	6
29	но это	4	6
30	друг друга	2	6
31	но в	6	6
32	что он	6	6
33	что я	4	6
34	в романе	10	6
35	то же	5	6
36	все это	4	6
37	и он	3	6
38	и его	6	6
39	это не	5	5
40	же время	6	5
41	при этом	3	5
42	и сам	3	5
43	к нему	3	5
44	в то	5	5
45	с его	2	5
46	у него	6	5
47	о том	2	5
48	уже в	3	4
49	что в	4	4
50	до конца	2	4
51	я ведь	2	4
52	все эти	3	4
53	должно быть	3	4
54	потому что	2	4
55	а что	2	4
56	он и	2	4
57	и здесь	2	4
58	как в	3	4
59	раз и	2	4
60	том что	4	4
61	он не	2	4
62	все же	5	4
63	то что	4	4
64	своего рода	3	4
65	так и	5	4
66	уже не	2	4
67	настасья филипповна	2	4
68	не могут	2	3
69	в мире	3	3
70	в своем	3	3
71	отношение к	2	3
72	и до	2	3
73	так же	4	3
74	между этими	2	3
75	и даже	4	3
76	в конце	3	3
77	но при	2	3
78	с ее	3	3
79	и что	4	3
80	что и	2	3
81	в отличие	2	3
82	жизнь и	3	3
83	тем что	2	3
84	в этой	4	3
85	и это	2	3
86	отличие от	2	3
87	он сам	7	2
88	вопрос о	2	2
89	к тому	2	2
90	в известной	2	2
91	так что	2	2
92	и как	3	2
93	но все	2	2
94	для него	3	2
95	к области	2	2
96	во сне	2	2
97	преступлении и	2	2
98	к жизни	5	2
99	то и	2	2
100	этого романа	2	2
101	для достоевского	2	2
102	с ним	3	2
103	а как	2	2
104	из своих	2	2
105	в преступлении	2	2
106	одна из	2	2
107	об этом	4	2
108	только к	2	2
109	и наказании	2	2
110	бы и	2	2
111	ничего не	2	2
112	в данном	2	2
113	в рассказе	2	2
114	одном из	2	2
