N	2gram	Tiupa_Lite_3	Freidism
1	и не	22	23
2	не может	8	20
3	точки зрения	7	19
4	прежде всего	3	18
5	в этом	14	15
6	в его	6	15
7	может быть	12	13
8	и его	6	12
9	как и	5	11
10	как бы	8	11
11	то что	12	11
12	с точки	3	11
13	и потому	2	10
14	так и	9	10
15	как мы	2	10
16	самом деле	3	10
17	его в	2	10
18	но в	3	10
19	с его	6	9
20	и в	16	9
21	во всех	2	9
22	по отношению	4	9
23	что он	5	8
24	отношению к	4	8
25	еще не	6	8
26	в своей	7	8
27	не только	14	8
28	то же	9	8
29	только в	7	8
30	один из	2	7
31	отношение к	2	7
32	в самом	3	7
33	и наконец	3	7
34	никогда не	4	6
35	и ее	2	6
36	для него	2	6
37	того что	9	6
38	совершенно не	3	6
39	и с	2	6
40	и к	3	5
41	в свою	2	5
42	можно сказать	2	5
43	не в	10	5
44	в этой	8	5
45	в то	9	5
46	что в	2	5
47	но и	14	5
48	для того	2	5
49	а в	5	5
50	и на	2	5
51	я и	10	5
52	не менее	2	4
53	но не	4	4
54	я не	2	4
55	сознания и	2	4
56	сознания с	2	4
57	то ни	2	4
58	в жизни	8	4
59	к тому	6	4
60	же время	7	4
61	при этом	15	4
62	как раз	2	4
63	в основе	5	4
64	в нем	2	4
65	все же	2	4
66	данном случае	4	4
67	уже не	3	4
68	того чтобы	2	4
69	и для	4	4
70	той же	3	4
71	с ними	2	4
72	в данном	4	4
73	потому что	3	4
74	себя и	2	4
75	о которой	2	3
76	если бы	2	3
77	жизни к	2	3
78	во втором	2	3
79	на себя	2	3
80	к себе	8	3
81	в себе	6	3
82	это как	3	3
83	и как	3	3
84	со всеми	2	3
85	было бы	2	3
86	ее в	2	3
87	с ее	3	3
88	себя в	7	3
89	бы то	2	3
90	жизни и	3	3
91	когда он	2	3
92	вместе с	5	3
93	со стороны	7	3
94	не знает	2	3
95	как в	5	3
96	и вот	2	3
97	и т.п	6	3
98	человека в	2	2
99	с чувством	2	2
100	и об	2	2
101	для себя	2	2
102	того же	2	2
103	с другой	6	2
104	это не	5	2
105	оно не	2	2
106	произведение искусства	6	2
107	в конце	2	2
108	к этому	2	2
109	же самое	2	2
110	в ее	5	2
111	до конца	4	2
112	ни было	2	2
113	том что	8	2
114	более того	3	2
115	сказать и	2	2
116	а не	12	2
117	одной стороны	4	2
118	из них	4	2
119	о нем	2	2
120	только для	3	2
121	во второй	2	2
122	все они	2	2
123	во всей	2	2
124	в нас	2	2
125	отношения к	3	2
126	в совершенно	2	2
127	для своего	2	2
128	этом отношении	5	2
129	с одной	4	2
130	из того	2	2
131	в отличие	5	2
132	и даже	2	2
133	так же	2	2
134	как на	3	2
135	отличие от	5	2
136	в своих	2	2
137	что и	2	2
138	и при	2	2
139	в другом	6	2
140	в первом	2	2
141	в глубине	2	2
142	как это	3	2
143	в области	3	2
