N	2gram	Losev_Vlad_3	NovoeSre
1	а не	8	17
2	не может	14	16
3	и в	40	16
4	совсем не	5	12
5	и не	25	11
6	что в	17	9
7	как не	2	8
8	он не	8	8
9	в том	18	8
10	не будет	6	7
11	как и	7	7
12	это есть	10	7
13	в этом	16	7
14	может быть	8	7
15	с его	2	6
16	никогда не	11	6
17	не в	3	6
18	но это	6	6
19	ни в	10	6
20	в нем	3	5
21	в жизни	2	5
22	истории в	2	5
23	xix века	6	5
24	и к	2	5
25	в ней	5	5
26	не только	25	5
27	не менее	9	4
28	то что	28	4
29	это не	3	4
30	и все	4	4
31	не было	5	4
32	не имеет	4	4
33	и для	3	4
34	должно быть	5	4
35	потому что	11	4
36	прежде всего	10	4
37	о том	11	4
38	значит что	6	4
39	и потому	10	4
40	но и	18	3
41	не есть	10	3
42	не существует	2	3
43	должна быть	2	3
44	в своей	9	3
45	в истории	5	3
46	с другой	5	3
47	вопрос о	4	3
48	человека и	3	3
49	в духе	3	3
50	к тому	7	3
51	в мире	2	3
52	с тем	7	3
53	смысле слова	6	3
54	она не	2	3
55	еще не	4	3
56	наряду с	2	3
57	в россии	3	3
58	за пределы	3	3
59	сказать что	12	3
60	это было	3	3
61	что все	7	2
62	я не	3	2
63	у него	24	2
64	вместе с	7	2
65	если нет	3	2
66	все они	2	2
67	так и	6	2
68	что она	2	2
69	который в	2	2
70	другой стороны	2	2
71	и от	6	2
72	а в	7	2
73	с одной	3	2
74	этом смысле	3	2
75	все эти	5	2
76	быть в	2	2
77	уже не	9	2
78	такой же	4	2
79	роль в	2	2
80	того чтобы	3	2
81	одной стороны	3	2
82	и даже	6	2
83	на путях	2	2
84	хотя бы	6	2
85	но не	4	2
86	ни к	2	2
87	так же	8	2
88	духовного и	2	2
89	по существу	4	2
90	время как	2	2
91	мы не	2	2
92	том что	18	2
93	в смысле	6	2
94	можно было	5	2
95	же как	3	2
96	в обществе	2	2
97	и с	9	2
98	и что	8	2
99	с этим	2	2
100	и на	6	2
101	не к	2	2
102	в себе	9	2
103	с их	3	2
104	в то	7	2
105	и это	6	2
106	такого рода	4	2
107	не имеют	2	2
108	к богу	2	2
109	и материального	2	2
110	как это	4	2
111	но для	3	2
112	хотя и	7	2
113	но в	4	2
114	еще до	2	2
