N	2gram	Losev_Vlad_3	EvropaiC
1	таким образом	11	32
2	в том	18	31
3	и в	40	24
4	том что	18	20
5	все эти	5	19
6	не может	14	18
7	то что	28	17
8	может быть	8	15
9	все же	4	15
10	точки зрения	13	13
11	в своем	8	12
12	в этом	16	12
13	с этим	2	11
14	мы знаем	3	10
15	как бы	3	10
16	так и	6	10
17	на то	4	9
18	при этом	3	9
19	в результате	4	9
20	как и	7	9
21	того же	2	9
22	что в	17	9
23	не в	3	8
24	в самом	4	8
25	так же	8	8
26	знаем что	2	8
27	если бы	3	8
28	и все	4	8
29	а и	2	8
30	с точки	6	8
31	не менее	9	7
32	к тому	7	7
33	но и	18	7
34	и не	25	7
35	и что	8	7
36	из этих	3	7
37	по своей	2	7
38	о том	11	7
39	что он	5	7
40	о которых	2	7
41	по существу	4	7
42	в силу	2	7
43	или менее	5	7
44	на самом	3	7
45	того чтобы	3	7
46	для того	2	7
47	из этого	2	7
48	более или	5	7
49	должна быть	2	6
50	все они	2	6
51	с другой	5	6
52	так что	14	6
53	в этой	8	6
54	несмотря на	7	6
55	отличается от	3	6
56	того что	7	6
57	как на	3	6
58	и на	6	6
59	что касается	2	6
60	так как	7	6
61	еще не	4	6
62	что и	7	6
63	в мире	2	6
64	в европе	2	6
65	только в	13	6
66	вместе с	7	6
67	именно в	3	5
68	что это	9	5
69	случае если	2	5
70	и от	6	5
71	что все	7	5
72	тому же	5	5
73	у него	24	5
74	в целом	2	5
75	другой стороны	2	5
76	и с	9	5
77	потому что	11	5
78	его в	2	5
79	но в	4	5
80	к этому	2	5
81	и к	2	5
82	в то	7	5
83	и если	7	5
84	в его	14	5
85	не только	25	5
86	не будет	6	5
87	быть и	2	5
88	и для	3	5
89	но все	3	5
90	в себе	9	5
91	далеко не	3	5
92	в которой	2	5
93	не могут	2	4
94	тех кто	3	4
95	никогда не	11	4
96	самого себя	2	4
97	в конце	12	4
98	тем не	10	4
99	что его	2	4
100	в дальнейшем	4	4
101	это есть	10	4
102	хотя и	7	4
103	из них	2	4
104	в их	2	4
105	которых мы	2	4
106	не так	3	4
107	должно быть	5	4
108	и то	9	4
109	совершенно так	2	4
110	том случае	3	4
111	связи с	2	4
112	мы должны	4	4
113	мы уже	5	4
114	он не	8	4
115	конце концов	5	4
116	не есть	10	4
117	выше мы	2	4
118	оказывается что	2	4
119	что эта	2	4
120	совершенно не	2	4
121	то же	4	4
122	а с	4	4
123	в течение	4	4
124	и сейчас	2	4
125	если мы	4	4
126	в в	2	4
127	и у	3	4
128	хотя бы	6	4
129	в таком	3	4
130	в виде	13	4
131	мы будем	2	3
132	же как	3	3
133	с одной	3	3
134	но даже	4	3
135	в нашем	2	3
136	в этих	2	3
137	вопрос о	4	3
138	а наоборот	3	3
139	для нас	5	3
140	не вполне	2	3
141	в настоящее	3	3
142	так или	2	3
143	в нем	3	3
144	данном случае	2	3
145	от того	4	3
146	в разных	2	3
147	то ни	3	3
148	и наконец	2	3
149	и по	2	3
150	а в	7	3
151	это не	3	3
152	в начале	2	3
153	в истории	5	3
154	настоящее время	3	3
155	что мы	2	3
156	при помощи	4	3
157	и потому	10	3
158	бы в	2	3
159	с тем	7	3
160	прежде всего	10	3
161	в жизни	2	3
162	у нас	5	3
163	во всем	6	3
164	чем в	4	3
165	что если	4	3
166	на почве	2	3
167	даже в	4	3
168	только что	2	3
169	жизнь и	3	3
170	в с	2	3
171	или иначе	2	3
172	в данном	5	3
173	которые не	2	3
174	в связи	3	3
175	и вообще	3	3
176	ничего общего	5	3
177	и это	6	3
178	отличие от	3	3
179	же не	2	3
180	но на	2	2
181	независимо от	3	2
182	в сторону	2	2
183	можно ли	2	2
184	тому что	4	2
185	с этой	2	2
186	что на	2	2
187	как мы	8	2
188	сводится к	3	2
189	для него	8	2
190	мы и	2	2
191	такой же	4	2
192	заметим что	3	2
193	что несмотря	2	2
194	же время	2	2
195	одной стороны	3	2
196	к нему	3	2
197	но для	3	2
198	в ней	5	2
199	но если	5	2
200	в виду	3	2
201	всяком случае	3	2
202	в котором	4	2
203	мы видели	3	2
204	бы то	3	2
205	по его	2	2
206	вопросе о	3	2
207	что она	2	2
208	то и	2	2
209	в одно	2	2
210	и так	2	2
211	только при	4	2
212	на более	2	2
213	но как	2	2
214	не было	5	2
215	все то	3	2
216	также и	17	2
217	во всяком	3	2
218	то есть	24	2
219	и более	2	2
220	отнюдь не	5	2
221	же касается	5	2
222	вовсе не	13	2
223	этого последнего	2	2
224	на первый	2	2
225	при условии	2	2
226	то в	6	2
227	в вопросе	2	2
228	но не	4	2
229	не очень	2	2
230	только то	2	2
231	она не	2	2
232	было бы	4	2
233	в сущности	2	2
234	общего с	2	2
235	между прочим	5	2
236	нечего и	2	2
237	как не	2	2
238	него в	4	2
239	на него	2	2
240	что же	9	2
241	что оба	2	2
242	но с	2	2
243	тем самым	2	2
244	потому и	2	2
245	в другом	2	2
246	и только	3	2
