N	3gram	Tiupa_Teor_1	Analitik
1	в том что	8	7
2	по отношению к	4	7
3	так и не	4	5
4	с другой стороны	5	5
5	мы имеем дело	2	4
6	в свою очередь	2	4
7	во второй строфе	4	4
8	как и в	2	4
9	и того же	3	3
10	то же время	5	3
11	одного и того	3	3
12	до известной степени	2	3
13	в данном случае	5	3
14	и а а	3	3
15	а всего лишь	3	3
16	о полку игореве	2	3
17	в тарасе бульбе	2	3
18	не только не	2	3
19	присутствия я в	6	3
20	в сочетании с	2	3
21	в то же	5	3
22	роли в миропорядке	5	3
23	всех без исключения	3	3
24	в первой строфе	4	3
25	в русской литературе	2	3
26	однако при этом	2	2
27	в отличие от	6	2
28	можно сказать что	2	2
29	так и его	2	2
30	не в самом	2	2
31	относительно своей роли	2	2
32	в имени тебе	2	2
33	я в мире	7	2
34	стих звучит ритмическим	2	2
35	в пределах строки	2	2
36	пушкина что в	2	2
37	о у о	2	2
38	своей роли в	2	2
39	в конечном счете	6	2
40	тот или иной	2	2
41	в слове о	2	2
42	с точки зрения	3	2
43	однако в строке	2	2
44	слове о полку	2	2
45	с одной стороны	2	2
46	у о о	2	2
47	в русской поэзии	2	2
48	что в имени	2	2
49	тем не менее	3	2
50	и его внешней	2	2
51	о о и	2	2
52	внутренняя граница личности	2	2
53	а и а	2	2
