N	2gram	Medvedev_S_1	EvropaiC
1	таким образом	2	32
2	в том	5	31
3	и в	3	24
4	том что	2	20
5	то что	2	17
6	может быть	2	15
7	в этом	5	12
8	все это	7	11
9	отношению к	2	10
10	как бы	2	10
11	по отношению	2	10
12	в результате	2	9
13	что в	2	9
14	не в	3	8
15	но и	2	7
16	и что	2	7
17	по существу	2	7
18	должна быть	2	6
19	еще не	2	6
20	только в	2	6
21	в его	3	5
22	не только	3	5
23	как будто	2	5
24	далеко не	2	5
25	в конце	2	4
26	конце концов	2	4
27	то же	2	4
28	для нас	3	3
29	очевидно что	2	3
30	тем более	2	3
31	в частности	2	2
32	исторического развития	2	2
33	было бы	2	2
34	и только	3	2
