N	3gram	Voloshinov_1	Formalny
1	с точки зрения	5	14
2	не может быть	2	14
3	на самом деле	3	12
4	то же время	7	7
5	в то же	9	7
6	в зависимости от	5	5
7	может быть понято	2	4
8	в связи с	2	4
9	для того чтобы	7	4
10	то же самое	4	3
11	в этом отношении	2	3
12	вместе с тем	2	3
13	смысле этого слова	2	2
14	ничего не останется	2	2
15	мы увидим что	2	2
16	то или иное	4	2
17	к тому что	2	2
18	и в то	2	2
19	мы видели что	2	2
20	в конце концов	3	2
21	как мы видели	3	2
22	равно как и	2	2
23	социального общения и	3	2
