N	2gram	Vinokur_Ku_2	Stilisti
1	и в	23	42
2	как бы	4	27
3	не только	20	27
4	прежде всего	8	22
5	хотя бы	9	17
6	но и	7	15
7	то же	6	15
8	и не	16	14
9	может быть	15	12
10	не может	9	12
11	точки зрения	14	11
12	как и	2	11
13	что мы	6	10
14	мы должны	2	10
15	отнюдь не	4	10
16	как мы	3	10
17	в этом	18	10
18	при этом	2	9
19	в то	4	9
20	то что	9	9
21	для того	9	9
22	все же	7	8
23	в ней	3	8
24	таким образом	5	8
25	с тем	2	8
26	что же	5	8
27	тем самым	2	8
28	и это	3	8
29	никогда не	2	7
30	зависимости от	5	7
31	и от	2	7
32	же время	3	7
33	и тем	5	7
34	и на	6	7
35	потому что	25	7
36	так как	15	7
37	в зависимости	4	7
38	слов и	2	7
39	было бы	15	7
40	а не	10	7
41	того чтобы	11	7
42	и его	3	7
43	только в	5	7
44	ничего не	4	7
45	мы будем	2	6
46	не в	8	6
47	в этой	6	6
48	в свою	2	6
49	в форме	3	6
50	язык и	2	6
51	в конце	4	6
52	в нем	4	6
53	в процессе	3	6
54	так и	4	6
55	язык в	2	6
56	речи и	5	6
57	в области	11	6
58	слова в	6	5
59	уже в	3	5
60	в нашем	7	5
61	и следовательно	2	5
62	мы видели	2	5
63	те же	3	5
64	с помощью	7	5
65	а в	3	5
66	и с	7	5
67	в живом	2	5
68	того или	2	5
69	как это	5	5
70	или иного	2	5
71	в его	5	5
72	вместе с	5	5
73	в той	2	5
74	с точки	8	5
75	той же	2	5
76	слова и	5	5
77	что это	7	4
78	не просто	2	4
79	можно сказать	4	4
80	к тому	4	4
81	но все	4	4
82	свою очередь	2	4
83	в качестве	8	4
84	в самом	12	4
85	один из	5	4
86	все это	5	4
87	языка и	8	4
88	того что	3	4
89	так же	4	4
90	но в	11	4
91	если бы	12	4
92	зрения в	3	4
93	у нас	12	4
94	так называемые	2	4
95	всего в	3	4
96	если мы	4	4
97	уже не	8	4
98	самом деле	9	4
99	и пр	8	4
100	тем же	2	4
101	можно было	9	4
102	и то	5	4
103	вопроса о	6	4
104	на это	3	4
105	или иное	3	3
106	язык не	2	3
107	что у	2	3
108	перед нами	4	3
109	это не	6	3
110	главным образом	3	3
111	этом случае	2	3
112	для нас	4	3
113	здесь мы	2	3
114	но что	2	3
115	но для	3	3
116	хотя и	4	3
117	представить себе	2	3
118	от того	4	3
119	что оно	3	3
120	и вот	5	3
121	лишь в	5	3
122	и даже	2	3
123	нуждается в	2	3
124	сказать что	4	3
125	и здесь	5	3
126	ни на	2	3
127	но вот	2	3
128	в виду	3	3
129	и все	2	3
130	этого слова	5	3
131	об этом	5	3
132	том что	11	3
133	еще не	5	3
134	мы в	2	3
135	конечно не	2	3
136	что и	3	3
137	отношения к	2	3
138	да и	6	3
139	вряд ли	4	3
140	слова как	3	3
141	на самом	2	3
142	что такое	3	3
143	и для	2	3
144	то или	3	3
145	роль в	2	3
146	слов в	3	3
147	конце концов	3	3
148	выражение в	3	3
149	связи с	3	3
150	не знает	3	3
151	ответ на	2	3
152	бы и	4	2
153	в частности	2	2
154	но даже	2	2
155	и речь	2	2
156	не всегда	2	2
157	вопрос о	9	2
158	в том	19	2
159	но это	3	2
160	иными словами	8	2
161	очевидно что	2	2
162	до конца	3	2
163	в пределах	4	2
164	несмотря на	5	2
165	за ними	2	2
166	не говоря	2	2
167	целый ряд	5	2
168	в связи	4	2
169	в отношении	2	2
170	не было	4	2
171	этом отношении	3	2
172	еще и	2	2
173	все эти	12	2
174	который мы	2	2
175	должно быть	4	2
176	в которых	2	2
177	в своих	2	2
178	также и	5	2
179	даже и	2	2
180	в разговоре	4	2
181	мы имеем	5	2
182	ни к	15	2
183	речи но	2	2
184	смысле этого	2	2
185	это слово	4	2
186	с этим	3	2
187	к этому	4	2
188	связанные с	2	2
189	ясно что	5	2
190	не должно	2	2
191	что он	5	2
192	материал для	2	2
193	слово это	6	2
194	только потому	8	2
195	речи не	3	2
196	но не	6	2
197	а на	2	2
198	разве не	2	2
199	тот же	5	2
200	и потому	2	2
201	гораздо более	3	2
202	слова не	3	2
203	как не	3	2
204	в своей	2	2
205	как в	3	2
206	здесь не	3	2
207	ли не	2	2
208	из которых	3	2
209	к нему	2	2
210	или в	4	2
211	этот вопрос	6	2
212	в языке	10	2
213	тем что	3	2
214	в каком	4	2
215	и вообще	2	2
216	достаточно для	2	2
217	говорить и	2	2
