N	2gram	Tiupa_Disk_1	StatiiOP
1	и в	16	29
2	том что	19	27
3	в том	23	27
4	в этом	15	21
5	но и	14	19
6	что в	4	19
7	не только	28	19
8	о том	8	17
9	что он	4	13
10	в его	7	13
11	то что	5	11
12	к тому	5	10
13	таким образом	3	10
14	в своем	6	9
15	так и	8	9
16	и не	11	9
17	потому что	4	9
18	но в	8	8
19	в г	2	7
20	так например	2	7
21	в самом	3	7
22	в виду	2	7
23	в котором	5	7
24	в своей	5	7
25	об этом	2	6
26	в одном	2	6
27	одним из	2	6
28	все же	3	6
29	и что	2	6
30	и его	2	6
31	и на	5	6
32	о чем	2	5
33	прежде всего	11	5
34	в качестве	34	5
35	обратить внимание	2	5
36	как бы	5	5
37	своего рода	8	5
38	а не	22	5
39	того что	3	5
40	между тем	4	5
41	точки зрения	3	5
42	времени и	3	4
43	именно в	3	4
44	по словам	2	4
45	в частности	9	4
46	с другой	10	4
47	к этому	2	4
48	не в	7	4
49	для него	4	4
50	и к	4	4
51	и о	4	4
52	хотя и	2	4
53	в нем	9	4
54	внимание на	4	4
55	не приходится	2	4
56	в другом	2	4
57	связи с	4	4
58	в значении	2	4
59	своего времени	2	4
60	не менее	2	3
61	не является	4	3
62	нельзя не	2	3
63	оно не	2	3
64	с этим	3	3
65	на себя	2	3
66	по себе	3	3
67	тому же	5	3
68	в начале	2	3
69	но не	11	3
70	одной из	4	3
71	например в	2	3
72	никогда не	2	3
73	и даже	3	3
74	не могло	2	3
75	из них	3	3
76	другой стороны	3	3
77	как в	10	3
78	в их	5	3
79	а с	5	3
80	не было	7	3
81	тем что	3	3
82	в году	2	3
83	и он	2	3
84	и по	2	3
85	хотя бы	3	3
86	во всяком	2	3
87	но они	2	2
88	с его	4	2
89	и др	2	2
90	в них	4	2
91	что с	2	2
92	в какой	2	2
93	в одной	3	2
94	для своего	2	2
95	в тех	2	2
96	что и	3	2
97	его как	2	2
98	в ее	3	2
99	как и	16	2
100	и как	6	2
101	в этой	2	2
102	в истории	4	2
103	в то	3	2
104	по своему	3	2
105	чем он	2	2
106	на его	4	2
107	такого рода	4	2
108	может быть	17	2
109	значительной степени	2	2
110	и потому	3	2
111	а также	8	2
112	еще в	3	2
113	сами по	2	2
114	только в	7	2
115	также и	3	2
116	в процессе	5	2
117	дело не	2	2
118	со стороны	7	2
119	или менее	2	2
120	не может	9	2
121	тогда как	19	2
122	в особенности	4	2
123	то же	7	2
124	при этом	13	2
125	в отличие	5	2
126	они не	2	2
127	более или	2	2
128	в значительной	2	2
129	в данном	5	2
130	сказать что	3	2
131	в себе	7	2
132	и вообще	2	2
133	того же	3	2
134	отличие от	5	2
135	это было	2	2
