N	2gram	Berdyaev_M_2	Otkroven
1	у него	22	22
2	человеческой природы	7	20
3	у достоевского	34	19
4	и в	46	19
5	но и	15	13
6	и не	18	13
7	в этом	20	12
8	из подполья	2	11
9	а не	13	11
10	не в	9	11
11	человека в	14	11
12	может быть	21	11
13	не только	18	11
14	человека и	7	10
15	и все	5	10
16	вопрос о	6	10
17	в нем	22	10
18	никогда не	18	9
19	к человеку	12	9
20	не было	11	9
21	в человеке	2	9
22	потому что	12	9
23	прежде всего	12	9
24	и он	11	8
25	он был	9	8
26	лишь в	2	7
27	человек не	7	7
28	но он	11	7
29	до конца	4	7
30	ивана карамазова	7	7
31	нет ничего	3	7
32	в глубине	3	7
33	он не	10	7
34	в его	5	7
35	о великом	2	6
36	великом инквизиторе	2	6
37	как и	13	6
38	человеческой личности	7	6
39	русского человека	7	5
40	то что	5	5
41	а в	2	5
42	достоевского и	2	5
43	отношение к	8	5
44	в том	3	5
45	для достоевского	8	5
46	для него	18	5
47	достоевский раскрывает	5	5
48	в этой	7	5
49	в самом	5	5
50	в россии	3	5
51	в творчестве	3	5
52	человеку и	3	5
53	с его	4	4
54	достоевского есть	6	4
55	русского духа	2	4
56	всегда есть	2	4
57	на земле	8	4
58	т е	4	4
59	он сам	6	4
60	только и	4	4
61	достоевского не	3	4
62	того чтобы	4	4
63	что не	2	4
64	есть лишь	17	4
65	и его	5	4
66	человек и	2	4
67	достоевский не	5	4
68	герои достоевского	2	4
69	не может	15	4
70	что в	4	4
71	него и	2	4
72	русский человек	3	4
73	в идиоте	2	4
74	о бессмертии	3	4
75	к нему	2	3
76	со злом	3	3
77	достоевского в	2	3
78	нем нет	2	3
79	человеческого духа	5	3
80	в этих	2	3
81	и есть	8	3
82	самого достоевского	3	3
83	влечет к	3	3
84	это не	5	3
85	и вот	5	3
86	что он	7	3
87	того что	6	3
88	для того	5	3
89	что человек	2	3
90	хотя бы	7	3
91	человека его	2	3
92	в своих	3	3
93	быть может	2	3
94	подполья и	2	3
95	и от	3	3
96	достоевский был	9	3
97	все что	4	3
98	во имя	16	3
99	он лишь	2	3
100	в бесах	6	3
101	в себе	10	3
102	в русской	6	3
103	о том	3	3
104	к гибели	4	3
105	с ним	3	3
106	как бы	8	3
107	любовь к	8	2
108	уже в	2	2
109	мити карамазова	4	2
110	свобода и	2	2
111	и ивана	3	2
112	в страдании	2	2
113	что и	4	2
114	не есть	13	2
115	ее в	2	2
116	он в	3	2
117	и для	7	2
118	и там	6	2
119	дневнике писателя	2	2
120	можно ли	3	2
121	достоевского нет	2	2
122	ничего кроме	2	2
123	так и	4	2
124	взял все	2	2
125	добро и	2	2
126	жизни в	3	2
127	в своем	8	2
128	что у	4	2
129	для человека	3	2
130	иван карамазов	13	2
131	иваном карамазовым	2	2
132	что есть	2	2
133	что же	2	2
134	как к	2	2
135	и любовь	2	2
136	те которые	3	2
137	что все	5	2
138	достоевский открывает	2	2
139	человеческую природу	2	2
140	творчество достоевского	3	2
141	по себе	2	2
142	свободы и	4	2
143	и к	7	2
144	и никогда	3	2
145	не имеет	4	2
146	должно быть	2	2
147	в дневнике	2	2
148	человека есть	3	2
149	его не	2	2
150	в которой	2	2
151	природы в	2	2
152	достоевского к	5	2
153	том что	4	2
154	так что	2	2
155	достоевским и	2	2
156	и на	3	2
157	что они	3	2
158	раскрывает достоевский	2	2
159	сказать что	3	2
160	и с	3	2
161	человека к	8	2
162	чем в	2	2
163	совсем не	5	2
164	тем что	3	2
165	личности и	2	2
166	и против	3	2
167	ума и	4	2
168	и нет	3	2
169	момент в	3	2
170	до глубины	8	2
171	в подростке	3	2
172	было для	2	2
173	все дозволено	11	2
174	мысль о	2	2
175	его в	3	2
176	в своей	5	2
177	так как	8	2
178	и этим	2	2
179	ничего не	2	2
180	хотя и	2	2
181	к ней	2	2
182	но в	10	2
183	много раз	2	2
184	и потому	7	2
185	этом он	2	2
