N	2gram	Losev_Vesc_1	Myslijsy
1	потому что	16	33
2	то что	27	29
3	может быть	16	26
4	таким образом	8	24
5	в том	8	23
6	и в	21	23
7	в этом	4	23
8	в слове	2	22
9	и не	29	18
10	что в	9	17
11	только в	14	15
12	для нас	2	14
13	как и	8	14
14	в себе	14	14
15	то же	6	14
16	того что	8	14
17	так как	7	14
18	если бы	5	13
19	том что	8	12
20	а не	19	12
21	по себе	13	11
22	что я	24	11
23	но и	18	11
24	не в	5	11
25	не может	17	11
26	и потому	5	10
27	что мы	14	10
28	не только	36	10
29	тем что	2	10
30	для меня	2	10
31	мы можем	4	10
32	не есть	49	9
33	в своем	6	8
34	было бы	14	8
35	тогда когда	5	8
36	то это	3	8
37	другими словами	5	8
38	мы не	6	8
39	сказать что	17	8
40	о том	6	8
41	но в	5	8
42	когда я	5	7
43	с тем	5	7
44	что это	13	7
45	это не	5	7
46	на то	4	7
47	в нем	2	7
48	что и	3	7
49	в силу	3	7
50	и что	15	7
51	вовсе не	10	7
52	язык есть	2	7
53	и т	19	7
54	мысли и	3	7
55	мы говорим	5	7
56	с этим	3	7
57	что такое	12	7
58	независимо от	5	6
59	для того	2	6
60	что не	5	6
61	когда мы	6	6
62	так и	3	6
63	по крайней	4	5
64	только тогда	3	5
65	так что	5	5
66	есть только	7	5
67	для него	4	5
68	хотя и	4	5
69	в его	2	5
70	как бы	12	5
71	крайней мере	4	5
72	бы и	5	5
73	что же	8	5
74	есть нечто	6	5
75	все это	5	5
76	не менее	3	5
77	находится в	3	5
78	должно быть	6	5
79	а в	4	5
80	с ним	8	5
81	не из	2	5
82	во всяком	3	5
83	говорить о	6	5
84	и то	10	5
85	слова и	5	5
86	не то	4	5
87	и все	5	4
88	что все	2	4
89	есть не	14	4
90	тем не	3	4
91	как же	3	4
92	есть то	9	4
93	можно сказать	6	4
94	и может	2	4
95	со своим	7	4
96	в одном	2	4
97	и о	3	4
98	от того	3	4
99	в котором	3	4
100	сам по	3	4
101	и тем	3	4
102	между ними	3	4
103	да и	3	4
104	только на	3	4
105	то и	4	4
106	слово в	2	4
107	в той	3	4
108	того чтобы	3	4
109	хотя бы	6	4
110	с другими	8	4
111	между собою	6	4
112	точки зрения	5	4
113	в данном	5	4
114	в то	3	4
115	его в	2	4
116	мы имеем	7	4
117	и с	8	4
118	слова в	2	3
119	ее не	2	3
120	при помощи	2	3
121	себе в	3	3
122	только не	2	3
123	и есть	26	3
124	никогда не	2	3
125	что между	2	3
126	с нею	18	3
127	говорим что	3	3
128	в смысле	12	3
129	но это	10	3
130	не будет	12	3
131	к одному	3	3
132	кроме того	4	3
133	еще не	8	3
134	в действительности	7	3
135	и если	2	3
136	мы уже	3	3
137	к тому	3	3
138	в самом	9	3
139	между прочим	3	3
140	и следовательно	7	3
141	в виду	2	3
142	всяком случае	2	3
143	но уже	3	3
144	и их	7	3
145	со стороны	5	3
146	только что	2	3
147	есть всегда	4	3
148	вообще и	4	3
149	что есть	5	3
150	и только	3	3
151	т д	19	3
152	той же	2	3
153	в разных	4	3
154	все эти	3	3
155	все равно	2	3
156	что у	5	3
157	уже не	9	3
158	самом деле	4	3
159	слово и	4	3
160	должны быть	4	3
161	что то	2	3
162	с ними	3	3
163	это есть	7	3
164	в мысли	3	3
165	то в	4	3
166	их в	3	3
167	то мы	2	3
168	даже и	4	3
169	так то	3	3
170	ту же	2	3
171	с точки	3	3
172	в первом	2	3
173	тому как	4	2
174	можно только	4	2
175	я не	4	2
176	иное как	7	2
177	из себя	3	2
178	и как	8	2
179	но даже	3	2
180	и без	3	2
181	тому что	2	2
182	или что	3	2
183	сами по	3	2
184	с другой	6	2
185	оно не	3	2
186	что на	2	2
187	оно есть	9	2
188	и здесь	4	2
189	в ее	7	2
190	в самой	2	2
191	было и	2	2
192	у нас	7	2
193	об этом	3	2
194	действительность и	8	2
195	равно как	2	2
196	есть и	4	2
197	имеем дело	3	2
198	но что	2	2
199	в свою	4	2
200	не нужно	2	2
201	не что	7	2
202	она не	4	2
203	тот же	3	2
204	то необходимо	2	2
205	в сущности	4	2
206	в ней	12	2
207	и когда	4	2
208	не значит	7	2
209	от ее	6	2
210	не вполне	2	2
211	так или	4	2
212	как оно	3	2
213	судить о	4	2
214	один из	3	2
215	не с	7	2
216	и это	14	2
217	если оно	4	2
218	не знаем	2	2
219	данном случае	2	2
220	что она	15	2
221	я вижу	2	2
222	даже не	7	2
223	как она	4	2
224	мы видим	2	2
225	быть не	4	2
226	и для	9	2
227	если мы	8	2
228	еще более	2	2
229	дело не	2	2
230	требует чтобы	4	2
231	как мы	4	2
232	и другое	4	2
233	и у	3	2
234	и даже	6	2
235	и притом	3	2
236	что значит	8	2
237	и его	2	2
238	есть лишь	2	2
239	можно было	2	2
240	или иначе	4	2
241	нас в	3	2
242	и чем	3	2
243	бы ни	2	2
244	что только	3	2
245	к ней	2	2
246	подобно тому	4	2
247	собою и	4	2
248	это можно	2	2
249	что иное	7	2
250	бы в	5	2
251	я в	2	2
252	мы должны	2	2
253	от его	2	2
254	но самое	2	2
255	говорится о	2	2
256	отлично от	2	2
257	и сама	3	2
