N	2gram	Bakhtin_Fr_6	Problemy
1	и в	41	43
2	и не	3	29
3	может быть	2	23
4	как бы	7	22
5	не может	4	18
6	но и	13	14
7	как и	7	14
8	точки зрения	2	13
9	в этом	12	13
10	что он	6	13
11	в нем	16	12
12	в одном	5	12
13	не в	4	11
14	не только	10	11
15	прежде всего	10	10
16	и на	9	10
17	но в	8	10
18	в его	7	10
19	как мы	12	10
20	никогда не	8	9
21	в большинстве	4	9
22	в сущности	8	9
23	он не	2	9
24	лишь в	2	8
25	большинстве случаев	5	8
26	то же	5	8
27	с точки	2	8
28	и его	13	8
29	или в	6	8
30	перед нами	3	7
31	до сих	3	7
32	и сам	3	7
33	в него	3	7
34	в самом	10	7
35	к себе	2	7
36	ведь и	2	7
37	в то	6	7
38	то что	10	7
39	сих пор	3	7
40	а не	2	7
41	в другом	4	7
42	в этих	2	6
43	в том	2	6
44	при этом	3	6
45	в котором	4	6
46	и наконец	4	6
47	и все	9	6
48	у него	7	6
49	так сказать	2	6
50	так что	2	5
51	же время	5	5
52	хотя и	2	5
53	к нему	3	5
54	все это	11	5
55	таким образом	17	5
56	все эти	11	5
57	а в	4	5
58	рядом с	5	5
59	и с	16	5
60	бы в	2	5
61	но здесь	2	5
62	вовсе не	7	5
63	о том	9	5
64	но не	2	5
65	было бы	3	5
66	мы увидим	3	5
67	никак не	3	5
68	и что	5	5
69	в той	5	5
70	самом деле	4	5
71	и он	5	5
72	в себе	5	5
73	не могут	2	4
74	что в	7	4
75	в своем	5	4
76	с другой	4	4
77	до конца	2	4
78	но это	3	4
79	между собою	5	4
80	в результате	4	4
81	их в	2	4
82	но он	5	4
83	во время	9	4
84	так как	10	4
85	то есть	24	4
86	с его	5	4
87	в них	7	4
88	как его	2	4
89	более того	4	4
90	в своей	2	4
91	и до	7	4
92	во всех	17	4
93	не на	2	4
94	там где	5	4
95	между ними	3	4
96	мы не	2	4
97	как раз	2	4
98	только в	3	4
99	мы будем	3	3
100	что если	2	3
101	должна быть	2	3
102	в одной	3	3
103	есть и	2	3
104	он сам	3	3
105	себе самом	2	3
106	он был	4	3
107	есть в	3	3
108	кроме того	9	3
109	уже говорили	11	3
110	и их	3	3
111	и даже	4	3
112	самим собой	2	3
113	во всем	5	3
114	а за	2	3
115	с ним	4	3
116	между тем	2	3
117	стороны и	2	3
118	в романе	2	3
119	того же	4	3
120	здесь в	9	3
121	тот же	4	3
122	со всеми	2	3
123	кажется что	2	3
124	мы уже	18	3
125	за пределы	2	3
126	даже в	4	3
127	все же	4	3
128	себя в	2	3
129	так и	5	3
130	другой стороны	2	3
131	также и	6	3
132	и для	3	3
133	той же	5	3
134	тем что	5	3
135	это все	2	3
136	и этим	2	3
137	в эту	2	3
138	он является	2	2
139	уже в	4	2
140	не был	2	2
141	та же	4	2
142	из этих	2	2
143	в конце	2	2
144	переходит в	2	2
145	человека и	2	2
146	в образе	6	2
147	для нас	2	2
148	и как	4	2
149	времени и	2	2
150	что это	5	2
151	например в	6	2
152	они могут	2	2
153	и очень	2	2
154	и др	10	2
155	значение в	2	2
156	в форме	2	2
157	одной плоскости	2	2
158	для этого	2	2
159	но эта	2	2
160	того что	3	2
161	так же	5	2
162	каждый из	2	2
163	сказать что	6	2
164	из них	5	2
165	как он	2	2
166	в первом	3	2
167	говорили что	3	2
168	превращается в	2	2
169	с этим	3	2
170	конечно в	2	2
171	но конечно	2	2
172	и различные	2	2
173	а затем	4	2
174	в первой	3	2
175	у нас	4	2
176	ведь это	2	2
177	конечно не	3	2
178	и особенно	3	2
179	как в	4	2
180	в голове	3	2
181	еще более	2	2
182	если мы	2	2
183	том что	7	2
184	что не	3	2
185	и то	2	2
186	тело и	3	2
