N	2gram	Losev_Dial_1	Sovremen
1	не может	12	17
2	точки зрения	17	12
3	может быть	17	12
4	в каждом	2	8
5	в этом	12	7
6	и в	18	7
7	и не	30	6
8	как и	2	6
9	мы можем	4	6
10	ничего не	17	6
11	что же	3	5
12	прежде всего	10	5
13	все эти	2	5
14	с точки	12	5
15	как бы	11	4
16	если мы	2	4
17	жизни и	3	4
18	это не	9	4
19	а в	5	4
20	вопрос о	2	4
21	не только	13	4
22	же это	3	4
23	в том	9	4
24	в дальнейшем	5	4
25	из них	2	4
26	точку зрения	3	4
27	мы должны	5	4
28	так как	11	4
29	состоит из	3	3
30	все же	5	3
31	отнюдь не	9	3
32	все это	11	3
33	отличается от	2	3
34	в конце	4	3
35	то же	10	3
36	ясно что	8	3
37	мы получаем	2	3
38	в нем	16	3
39	а не	14	3
40	не в	6	3
41	еще не	2	3
42	было бы	12	3
43	и мы	5	3
44	и все	3	3
45	как он	4	3
46	в себе	11	3
47	что она	7	3
48	но в	6	3
49	и потому	3	3
50	совершенно не	8	2
51	может иметь	3	2
52	что это	11	2
53	не менее	2	2
54	и есть	16	2
55	в виде	2	2
56	быть и	4	2
57	то и	2	2
58	из этих	2	2
59	с одной	2	2
60	ли оно	2	2
61	еще более	3	2
62	как мы	4	2
63	уже не	2	2
64	или иной	3	2
65	самом деле	3	2
66	и что	12	2
67	и пр	5	2
68	что такое	10	2
69	и даже	13	2
70	мы видим	4	2
71	но все	3	2
72	такой же	2	2
73	во всяком	4	2
74	на этом	2	2
75	могут быть	3	2
76	с этим	2	2
77	что в	13	2
78	говорить о	5	2
79	это за	2	2
80	в самом	3	2
81	ее на	2	2
82	в науке	3	2
83	в его	3	2
84	всяком случае	2	2
