N	2gram	Savitsky_E_1	Formalny
1	и в	37	38
2	в этом	12	27
3	т е	9	26
4	может быть	6	23
5	таким образом	2	20
6	и не	14	20
7	в самом	4	16
8	прежде всего	9	15
9	не в	5	15
10	не может	9	14
11	но и	14	13
12	в пределах	25	12
13	с тем	3	11
14	в том	11	11
15	вовсе не	6	11
16	в его	2	10
17	с другими	2	10
18	и с	2	9
19	как и	7	9
20	в процессе	4	9
21	не только	18	9
22	отнюдь не	9	8
23	что и	3	8
24	так и	10	8
25	тем что	3	8
26	точки зрения	23	8
27	что в	21	7
28	не могут	2	7
29	по себе	4	7
30	во втором	2	7
31	в своей	8	7
32	в других	2	7
33	этом отношении	3	7
34	как мы	5	7
35	с точки	17	7
36	в результате	3	6
37	то что	6	6
38	в истории	2	6
39	для понимания	2	6
40	в ней	4	6
41	в этой	2	6
42	было бы	8	6
43	вместе с	2	6
44	в их	11	6
45	то же	15	6
46	а не	2	6
47	могут быть	2	6
48	он не	2	6
49	только в	9	6
50	а в	2	6
51	хотя бы	15	6
52	в общем	3	5
53	должна быть	2	5
54	если бы	2	5
55	или иного	4	5
56	именно в	4	5
57	же время	14	5
58	по преимуществу	2	5
59	во всех	6	5
60	что же	2	5
61	с этим	2	5
62	и только	3	5
63	и для	3	5
64	еще более	2	5
65	в то	16	5
66	бы в	2	5
67	во всяком	3	5
68	всяком случае	3	5
69	независимо от	4	4
70	и теперь	2	4
71	к тому	8	4
72	мы видели	3	4
73	в большинстве	2	4
74	в сторону	2	4
75	дело идет	2	4
76	того или	4	4
77	известной степени	3	4
78	как бы	6	4
79	и к	3	4
80	из них	3	4
81	в некоторых	2	4
82	как в	3	4
83	другой стороны	2	4
84	и наконец	2	4
85	и даже	6	4
86	там где	3	4
87	так как	7	4
88	но в	14	4
89	если в	2	3
90	же как	5	3
91	для них	2	3
92	главным образом	2	3
93	место в	3	3
94	в какой	2	3
95	с другой	7	3
96	и как	2	3
97	но именно	2	3
98	не является	3	3
99	не есть	2	3
100	и отчасти	2	3
101	жизни и	2	3
102	и прежде	3	3
103	большинстве случаев	3	3
104	к нему	2	3
105	такой же	2	3
106	в значительной	2	3
107	того что	7	3
108	того чтобы	6	3
109	для того	6	3
110	следует отметить	2	3
111	мы не	4	3
112	или в	2	3
113	и на	6	3
114	хотя и	2	3
115	и все	2	3
116	что это	2	3
117	в области	11	3
118	от этого	5	3
119	и более	2	2
120	все более	9	2
121	никогда не	3	2
122	в этих	2	2
123	в качестве	14	2
124	столь же	5	2
125	представление о	2	2
126	между ними	2	2
127	бы совершенно	2	2
128	в ее	8	2
129	том что	6	2
130	идет о	3	2
131	то в	4	2
132	как их	2	2
133	но не	5	2
134	очевидно что	3	2
135	но как	2	2
136	она не	2	2
137	ни на	3	2
138	что на	2	2
139	на язык	2	2
140	в котором	2	2
141	даже в	4	2
142	и тем	3	2
143	в развитии	2	2
144	этом смысле	3	2
145	не будет	3	2
146	не к	2	2
147	во второй	3	2
148	ее в	3	2
149	всего в	2	2
150	со стороны	5	2
151	а именно	2	2
152	во всей	2	2
153	тому чтобы	2	2
154	поскольку он	2	2
155	в известной	3	2
156	то ни	4	2
157	и других	2	2
158	в той	5	2
159	применении к	3	2
160	тем самым	5	2
161	не имеет	4	2
162	и по	5	2
163	в таком	3	2
164	этот вопрос	2	2
165	и то	2	2
166	сказать что	4	2
167	между тем	8	2
168	и от	3	2
169	в применении	3	2
170	при помощи	2	2
171	потому что	3	2
172	как это	4	2
173	отметить что	3	2
