N	2gram	Nazirov_Tv_1	Freidism
1	таким образом	5	24
2	и не	7	23
3	не может	4	20
4	прежде всего	4	18
5	в этом	6	15
6	в его	13	15
7	может быть	5	13
8	и его	6	12
9	как и	12	11
10	как бы	17	11
11	то что	8	11
12	так и	2	10
13	самом деле	2	10
14	с ним	3	10
15	но в	7	10
16	с его	11	9
17	и в	21	9
18	что он	6	8
19	в своей	4	8
20	он не	8	8
21	не только	7	8
22	все это	10	8
23	то же	13	8
24	только в	5	8
25	и все	6	8
26	так как	3	8
27	тот же	2	7
28	один из	4	7
29	в самом	3	7
30	и наконец	2	7
31	сказать что	2	7
32	никогда не	3	6
33	вовсе не	5	6
34	для него	6	6
35	того что	3	6
36	в ней	2	6
37	так сказать	2	6
38	хотя бы	5	6
39	и с	3	6
40	на протяжении	3	6
41	он сам	6	5
42	в свою	7	5
43	можно сказать	2	5
44	не в	2	5
45	в этой	5	5
46	в чем	2	5
47	в то	15	5
48	что в	12	5
49	но и	3	5
50	по мнению	3	5
51	на самом	3	5
52	в себя	2	5
53	а в	6	5
54	и на	7	5
55	могут быть	2	5
56	я и	3	5
57	не менее	6	4
58	но не	3	4
59	я не	3	4
60	в котором	6	4
61	в этих	2	4
62	в жизни	2	4
63	к тому	2	4
64	об этом	2	4
65	же время	12	4
66	при этом	7	4
67	в основе	2	4
68	в нем	3	4
69	все же	5	4
70	данном случае	2	4
71	мы находим	2	4
72	уже не	3	4
73	с самого	3	4
74	в которой	3	4
75	той же	3	4
76	в данном	2	4
77	потому что	5	4
78	в мир	2	4
79	самого начала	3	3
80	конечном счете	4	3
81	и от	4	3
82	что все	3	3
83	в конечном	4	3
84	в себе	2	3
85	это как	3	3
86	и как	4	3
87	но это	5	3
88	со всеми	3	3
89	ни на	3	3
90	ее в	3	3
91	с ее	3	3
92	жизни и	3	3
93	когда он	2	3
94	вместе с	2	3
95	приводит к	2	3
96	не знает	2	3
97	как в	8	3
98	мысли и	4	3
99	и по	3	3
100	такой же	2	3
101	у него	7	3
102	человека с	2	3
103	одна из	2	3
104	подхода к	3	3
105	человека и	4	3
106	уже в	3	2
107	зависит от	2	2
108	человека в	6	2
109	и другие	3	2
110	это уже	5	2
111	того же	2	2
112	с другой	3	2
113	это не	4	2
114	стремление к	2	2
115	к этому	2	2
116	тем не	2	2
117	до конца	2	2
118	влияние на	2	2
119	в основном	4	2
120	это и	3	2
121	том что	11	2
122	в глаза	2	2
123	не существует	3	2
124	а не	5	2
125	в нашей	2	2
126	из них	2	2
127	но если	3	2
128	в него	2	2
129	в своем	4	2
130	во второй	2	2
131	дело не	3	2
132	что она	2	2
133	в их	3	2
134	только на	2	2
135	во всей	2	2
136	что как	2	2
137	человека как	2	2
138	в отличие	2	2
139	и у	2	2
140	и даже	3	2
141	и притом	2	2
142	так же	3	2
143	отличие от	2	2
144	воли и	3	2
145	когда человек	2	2
146	в своих	5	2
147	что и	2	2
148	при помощи	2	2
149	в первом	2	2
150	же с	2	2
151	в момент	4	2
152	в виду	2	2
