N	3gram	Potebnia_M_3	KulturaY
1	и т п	2	41
2	для того чтобы	3	11
3	тем не менее	3	9
4	в том что	16	8
5	и т д	3	8
6	до сих пор	3	8
7	и в самом	2	4
8	с одной стороны	3	4
9	только тогда когда	7	4
10	с другой стороны	4	3
11	сам по себе	5	3
12	так и в	2	3
13	не только в	4	3
14	не может быть	3	3
15	в том чтобы	2	3
16	сама по себе	2	2
17	только в том	3	2
18	не в том	5	2
19	одним и тем	3	2
20	и тем же	3	2
21	смысле этого слова	7	2
22	в первом случае	2	2
23	более или менее	3	2
24	в таком случае	2	2
25	не могут быть	2	2
26	по отношению к	5	2
27	от того что	5	2
28	что и в	3	2
