N	2gram	Nazirov_Tv_2	Problema
1	то есть	5	46
2	в его	10	43
3	и не	9	42
4	и в	20	38
5	познания и	2	30
6	не может	7	27
7	может быть	8	26
8	как бы	11	22
9	по отношению	3	21
10	отнюдь не	4	19
11	отношению к	3	19
12	и с	8	17
13	и его	9	16
14	в нем	3	15
15	в этом	8	15
16	и т	13	14
17	прежде всего	8	13
18	только в	2	13
19	т п	2	13
20	в искусстве	2	12
21	но не	5	12
22	в их	3	10
23	таким образом	10	10
24	но и	8	9
25	его в	3	9
26	не только	13	9
27	место в	3	8
28	в том	8	8
29	и др	3	8
30	то что	3	8
31	что в	7	7
32	с другой	2	7
33	не в	4	7
34	в самом	3	7
35	между тем	3	7
36	как и	6	7
37	еще не	5	7
38	в своей	6	7
39	в плане	3	7
40	и наконец	2	6
41	а в	4	6
42	человеческой культуры	2	6
43	все же	5	6
44	самом деле	2	6
45	ничего не	4	6
46	то же	7	5
47	это не	7	5
48	при этом	8	5
49	никогда не	11	5
50	все эти	4	5
51	рядом с	2	5
52	в основе	2	5
53	с ним	3	5
54	так и	6	5
55	в отличие	2	5
56	а не	6	5
57	могут быть	2	5
58	отличие от	2	5
59	не менее	2	4
60	другой стороны	2	4
61	и только	2	4
62	с ними	2	4
63	в то	10	4
64	о том	5	4
65	и потому	4	4
66	к которому	2	4
67	но в	4	4
68	в ее	2	4
69	как в	4	4
70	в романе	15	4
71	тем самым	4	4
72	что не	3	4
73	более того	2	4
74	в себе	3	4
75	нас за	2	3
76	и от	4	3
77	в известной	4	3
78	в дальнейшем	4	3
79	но это	5	3
80	же время	7	3
81	например в	5	3
82	хотя и	4	3
83	не является	3	3
84	точка зрения	2	3
85	в целом	6	3
86	все это	6	3
87	и даже	5	3
88	в область	3	3
89	и на	5	3
90	если бы	4	3
91	том что	4	3
92	говорить о	2	3
93	к миру	2	3
94	одной из	3	3
95	он не	3	3
96	нет и	2	3
97	на него	2	3
98	связь с	2	3
99	приводит к	2	3
100	в мире	5	3
101	в таком	3	3
102	с другими	2	3
103	и это	3	3
104	едва ли	2	3
105	я не	2	2
106	ни к	2	2
107	и есть	2	2
108	в частности	2	2
109	от ее	2	2
110	но зато	3	2
111	ивана карамазова	8	2
112	и у	2	2
113	в котором	3	2
114	особенно в	2	2
115	не было	2	2
116	и других	2	2
117	и что	2	2
118	в своих	3	2
119	в начале	3	2
120	в истории	2	2
121	проникает в	2	2
122	в россии	2	2
123	быть поняты	2	2
124	к этому	3	2
125	вовсе не	2	2
126	характера и	3	2
127	что он	6	2
128	у нас	2	2
129	одна из	3	2
130	относится и	2	2
131	том же	2	2
132	себя в	2	2
133	бы не	2	2
134	человека в	3	2
135	и он	2	2
136	тем что	3	2
137	в виде	2	2
138	и ее	2	2
139	и вообще	2	2
140	в чем	4	2
141	не могли	2	2
