N	3gram	Bakhtin_Pr_3	Freidism
1	с точки зрения	4	11
2	по отношению к	5	8
3	во всяком случае	5	7
4	не может быть	6	7
5	в самом деле	3	6
6	в большинстве случаев	2	5
7	и прежде всего	4	5
8	то же время	12	4
9	в то же	12	4
10	как мы видели	2	4
11	на самом деле	10	4
12	с самого начала	8	3
13	бы то ни	4	3
14	но в общем	2	3
15	к тому чтобы	2	3
16	на всю жизнь	2	2
17	не в силах	2	2
18	ни в чем	2	2
19	так и в	2	2
20	что он сам	2	2
21	в его целом	2	2
22	и не может	2	2
23	тем не менее	2	2
24	его отношение к	4	2
25	то ни было	4	2
26	в отличие от	2	2
27	в конце концов	3	2
28	в чем не	2	2
29	в высшей степени	3	2
30	но в то	3	2
