N	2gram	Tiupa_Vved_1	Problemy
1	и в	13	43
2	и не	12	29
3	чужого слова	3	24
4	может быть	18	23
5	как бы	4	22
6	не может	7	18
7	в пределах	2	16
8	но и	19	14
9	как и	11	14
10	в этом	21	13
11	слова в	2	12
12	в нем	5	12
13	не в	6	11
14	по себе	2	11
15	не только	20	11
16	прежде всего	7	10
17	и на	3	10
18	но в	6	10
19	в его	4	10
20	как мы	3	10
21	никогда не	4	9
22	еще не	7	9
23	он не	3	9
24	для него	3	8
25	лишь в	2	8
26	то же	5	8
27	и его	5	8
28	перед нами	6	7
29	в самом	2	7
30	в то	4	7
31	то что	6	7
32	что же	3	7
33	а не	15	7
34	в этих	3	6
35	в том	10	6
36	при этом	26	6
37	в котором	8	6
38	и наконец	2	6
39	и все	4	6
40	в речь	2	6
41	не как	2	6
42	приводит к	2	6
43	здесь не	2	6
44	так сказать	2	6
45	же время	3	5
46	хотя и	7	5
47	по отношению	7	5
48	таким образом	4	5
49	а в	6	5
50	и с	2	5
51	бы в	3	5
52	на фоне	2	5
53	о том	5	5
54	но не	5	5
55	было бы	4	5
56	никак не	2	5
57	отношению к	7	5
58	в той	4	5
59	самом деле	3	5
60	в речи	2	5
61	в слове	3	5
62	в себе	5	5
63	героя и	3	5
64	что в	3	4
65	в своем	5	4
66	с другой	5	4
67	к тому	6	4
68	до конца	3	4
69	но это	3	4
70	в направлении	2	4
71	в результате	3	4
72	их в	2	4
73	рассказ в	2	4
74	то есть	8	4
75	в них	2	4
76	точек зрения	2	4
77	как его	2	4
78	рассказчика и	2	4
79	в своей	5	4
80	во всех	2	4
81	в отличие	2	4
82	мы не	4	4
83	как раз	2	4
84	только в	6	4
85	далеко не	4	4
86	отличие от	2	4
87	не менее	4	3
88	должна быть	2	3
89	это не	6	3
90	в одной	2	3
91	или иной	3	3
92	тому же	4	3
93	есть в	2	3
94	более или	2	3
95	той или	3	3
96	он и	2	3
97	с ним	3	3
98	в жизни	4	3
99	но при	5	3
100	если бы	7	3
101	в приведенном	2	3
102	и к	2	3
103	в романе	6	3
104	что и	2	3
105	все же	6	3
106	на него	2	3
107	так и	8	3
108	или менее	2	3
109	по своим	3	3
110	уже не	5	3
111	другой стороны	2	3
112	также и	4	3
113	и для	3	3
114	можно было	2	3
115	в рассказе	6	3
116	тем что	2	3
117	могут быть	4	3
118	он является	2	2
119	а лишь	2	2
120	но на	2	2
121	с человеком	2	2
122	из этих	3	2
123	что на	2	2
124	слова но	2	2
125	тем не	3	2
126	для нас	2	2
127	мы и	2	2
128	времени и	7	2
129	например в	2	2
130	что такое	18	2
131	в целом	3	2
132	отношение к	2	2
133	целый ряд	2	2
134	то и	2	2
135	того что	6	2
136	этих случаях	2	2
137	в своих	2	2
138	а то	2	2
139	в категориях	2	2
140	как он	2	2
141	в первом	2	2
142	между собой	2	2
143	об этом	4	2
144	одна из	4	2
145	по своему	2	2
146	быть и	2	2
147	бы и	4	2
148	как в	4	2
149	а с	2	2
150	и сами	2	2
151	том что	7	2
152	может служить	4	2
153	мы можем	2	2
154	бы не	2	2
