N	3gram	Vinokur_Ku_2	Psycholo
1	и т п	24	15
2	в том что	10	9
3	и т д	14	8
4	на то что	2	8
5	не может быть	4	8
6	в самом деле	7	7
7	во всяком случае	5	6
8	само по себе	5	5
9	с другой стороны	7	5
10	в зависимости от	4	5
11	этой точки зрения	2	5
12	для того чтобы	8	5
13	так же как	2	4
14	с этой точки	2	4
15	точно так же	3	3
16	в отличие от	2	3
17	в конце концов	3	3
18	только в том	2	3
19	в конечном счете	2	3
20	несмотря на то	2	2
21	и в самом	2	2
22	с точки зрения	8	2
23	то или иное	2	2
24	по себе не	2	2
25	в русском языке	9	2
26	тем не менее	5	2
27	в этом отношении	3	2
28	вместе с тем	2	2
29	в этом смысле	5	2
30	в том случае	2	2
31	на самом деле	2	2
32	потому что он	2	2
