N	2gram	Ircho_Kome_1	Mirosoze
1	может быть	9	30
2	не только	10	29
3	и в	22	28
4	не может	2	28
5	но и	11	25
6	он не	3	24
7	в этом	3	20
8	у него	3	17
9	не в	6	16
10	потому что	5	16
11	он был	2	14
12	до конца	2	14
13	в нем	4	13
14	в самом	2	11
15	и не	8	11
16	что в	6	10
17	прежде всего	5	10
18	и все	3	10
19	что он	6	10
20	было бы	2	10
21	но он	2	9
22	в его	5	9
23	и его	8	9
24	но не	2	8
25	в котором	4	8
26	в конце	6	7
27	но в	4	7
28	к нему	2	7
29	в себе	2	7
30	в том	11	6
31	в этой	7	6
32	все это	5	6
33	и на	3	6
34	вместе с	2	6
35	только в	3	6
36	в которой	6	6
37	у нас	3	5
38	как и	9	5
39	то что	2	5
40	уже в	5	4
41	мог бы	2	4
42	не к	2	4
43	отношение к	3	4
44	в их	4	4
45	и по	6	4
46	а в	6	4
47	точки зрения	4	4
48	в них	3	4
49	один из	5	4
50	за пределы	2	4
51	к ней	2	4
52	что и	4	4
53	тем что	4	4
54	и вот	4	3
55	к тому	6	3
56	не мог	3	3
57	и еще	3	3
58	его в	3	3
59	так как	4	3
60	и с	3	3
61	на этом	2	3
62	для них	2	3
63	том что	12	3
64	ничего не	3	3
65	будто бы	2	3
66	место в	3	2
67	по своему	3	2
68	и мир	2	2
69	вопрос о	3	2
70	его творчество	2	2
71	в свою	2	2
72	могут быть	3	2
73	всего в	3	2
74	по отношению	3	2
75	время как	4	2
76	его творчества	3	2
77	в более	3	2
78	которую он	2	2
79	в начале	3	2
80	по своей	2	2
81	в истории	5	2
82	о том	8	2
83	только один	2	2
84	и во	2	2
85	к этому	4	2
86	отношению к	3	2
87	в то	10	2
88	все что	2	2
89	то время	5	2
90	как будто	2	2
91	до сих	2	2
92	относится к	2	2
93	еще в	5	2
94	все же	3	2
95	сих пор	2	2
96	как в	5	2
97	т е	13	2
98	и у	3	2
99	и как	3	2
100	к этим	3	2
101	конце концов	4	2
102	на протяжении	4	2
