N	2gram	Bakhtin_Pr_1	FransuaR
1	и в	38	41
2	то есть	46	20
3	таким образом	10	19
4	в этом	15	15
5	и все	3	14
6	как и	7	14
7	то же	5	13
8	все эти	5	13
9	в его	43	12
10	прежде всего	13	11
11	в том	8	11
12	как мы	7	11
13	в себе	4	11
14	так и	5	10
15	все это	3	10
16	в то	4	10
17	и его	16	9
18	не в	7	9
19	же время	3	9
20	но и	9	9
21	в своем	5	9
22	что в	7	9
23	и от	3	8
24	по существу	2	8
25	то что	8	8
26	но в	4	8
27	в них	5	7
28	вовсе не	2	7
29	в романе	4	7
30	как бы	22	7
31	в нем	15	7
32	и не	42	7
33	все они	5	6
34	это не	5	6
35	ни в	11	6
36	с помощью	7	6
37	только в	13	6
38	о том	4	6
39	к этому	2	5
40	не только	9	5
41	и к	3	5
42	на этом	2	5
43	в ней	4	5
44	что и	2	5
45	как в	4	5
46	и у	2	5
47	а в	6	5
48	к нему	10	5
49	и для	11	5
50	точки зрения	8	5
51	и это	3	5
52	в плане	7	5
53	место в	8	4
54	что это	2	4
55	хотя и	3	4
56	и здесь	2	4
57	том что	3	4
58	одна из	2	4
59	все что	3	4
60	было бы	8	4
61	может быть	26	4
62	он не	3	4
63	в виду	4	4
64	и наконец	6	4
65	должно быть	5	4
66	рядом с	5	4
67	и на	3	4
68	в более	4	4
69	и с	17	4
70	ничего не	6	4
71	я не	2	3
72	и другие	2	3
73	и есть	2	3
74	и потому	4	3
75	он может	2	3
76	в мире	3	3
77	но это	3	3
78	в своей	7	3
79	в свою	2	3
80	кроме того	3	3
81	при этом	5	3
82	несмотря на	3	3
83	например в	3	3
84	все то	3	3
85	и эта	2	3
86	в область	3	3
87	лица и	2	3
88	что он	2	3
89	во всех	11	3
90	в форме	4	3
91	в их	10	3
92	не может	27	3
93	не было	2	3
94	на них	3	3
95	тем самым	4	3
96	с точки	6	3
97	не имеет	9	3
98	и те	2	3
99	можно было	4	3
100	с ними	4	3
101	тем что	2	3
102	не на	5	3
103	не знает	3	3
104	проникает в	2	3
105	и вся	2	3
106	его в	9	3
107	что все	2	2
108	с его	2	2
109	ни было	3	2
110	находит свое	2	2
111	и др	8	2
112	никогда не	5	2
113	характерно для	2	2
114	связаны с	2	2
115	в этих	2	2
116	другими словами	2	2
117	и во	2	2
118	на самом	4	2
119	человека в	2	2
120	его целом	5	2
121	переходим к	2	2
122	есть не	2	2
123	и ее	2	2
124	о котором	2	2
125	отношению к	19	2
126	и как	8	2
127	точка зрения	3	2
128	в большинстве	5	2
129	в себя	2	2
130	отношение к	10	2
131	еще не	7	2
132	того что	2	2
133	со всеми	3	2
134	мы в	3	2
135	одной из	3	2
136	так называемый	2	2
137	человеческой культуры	6	2
138	оно не	3	2
139	должен быть	2	2
140	здесь нет	2	2
141	не есть	6	2
142	входят в	3	2
143	как нечто	3	2
144	по отношению	21	2
145	в связи	2	2
146	имеет дело	9	2
147	в особенности	2	2
148	со всех	2	2
149	этом отношении	2	2
150	и других	2	2
151	его как	3	2
152	в значительной	2	2
153	а не	5	2
154	мы здесь	4	2
155	а только	2	2
156	из которых	2	2
157	особенно в	2	2
158	или в	2	2
159	в данном	4	2
160	может иметь	5	2
161	может стать	3	2
162	также и	3	2
163	далеко не	5	2
164	дело в	2	2
165	большинстве случаев	5	2
166	в чем	2	2
167	с ним	5	2
168	в области	11	2
169	мы имеем	2	2
170	оно было	2	2
171	том как	2	2
