N	2gram	Propp_Russ_1	OGranits
1	и в	36	13
2	не может	4	8
3	и не	6	8
4	может быть	8	8
5	и их	4	7
6	точки зрения	3	7
7	и пр	2	7
8	в его	2	7
9	таким образом	6	6
10	не только	22	6
11	то что	6	6
12	только в	4	6
13	мы должны	2	6
14	как бы	5	6
15	все же	5	5
16	с точки	3	5
17	то же	3	4
18	все это	6	4
19	в каждом	2	4
20	мы не	6	4
21	мы можем	2	4
22	но в	2	4
23	что в	19	3
24	но и	16	3
25	так и	7	3
26	в их	4	3
27	в одном	3	3
28	как и	10	3
29	г в	4	3
30	ничего общего	2	3
31	с этим	2	3
32	и для	2	3
33	так как	15	3
34	еще в	4	2
35	не менее	3	2
36	и др	4	2
37	подойти к	2	2
38	ни одно	2	2
39	в нем	2	2
40	в целом	2	2
41	своего рода	3	2
42	а не	2	2
43	с г	2	2
44	в этот	10	2
45	думать что	3	2
46	не на	2	2
47	в них	6	2
48	в связи	4	2
49	входит в	4	2
50	а в	9	2
51	в течение	5	2
52	все эти	2	2
53	в тех	4	2
54	к тому	4	2
55	и к	3	2
56	как в	5	2
57	не имеет	6	2
58	в г	4	2
59	в том	17	2
60	что иное	2	2
61	так же	3	2
62	том что	19	2
63	мы видим	2	2
64	с ними	5	2
65	в своих	2	2
66	что они	7	2
67	в этом	12	2
68	тем что	4	2
69	между тем	7	2
70	могут быть	2	2
71	при этом	6	2
72	связанные с	3	2
73	не что	2	2
74	несмотря на	3	2
75	в целях	3	2
76	в области	3	2
77	имеет место	2	2
78	там где	2	2
79	в ней	2	2
80	иное как	2	2
81	а также	3	2
