N	2gram	Tiupa_Anal_3	NovoeSre
1	а не	9	17
2	не может	2	16
3	и в	18	16
4	и не	12	11
5	что в	9	9
6	он не	6	8
7	в том	9	8
8	не будет	3	7
9	как и	14	7
10	в этом	14	7
11	может быть	9	7
12	с его	8	6
13	никогда не	5	6
14	не в	6	6
15	лишь в	5	6
16	в нем	2	5
17	все это	3	5
18	в жизни	2	5
19	с ее	3	5
20	и к	4	5
21	в ней	2	5
22	не только	22	5
23	не менее	4	4
24	то что	2	4
25	в них	2	4
26	это не	2	4
27	и все	2	4
28	не было	3	4
29	и для	2	4
30	по своему	2	4
31	прежде всего	5	4
32	о том	6	4
33	и потому	2	4
34	истории не	2	3
35	к жизни	3	3
36	но и	13	3
37	не есть	4	3
38	с другой	7	3
39	во всех	2	3
40	к тому	6	3
41	в мире	5	3
42	в ее	3	3
43	с тем	2	3
44	подобно тому	3	3
45	как в	3	3
46	еще не	6	3
47	тому как	2	3
48	сказать что	2	3
49	себя в	4	2
50	вместе с	2	2
51	все они	2	2
52	так и	14	2
53	что она	2	2
54	и т.п	5	2
55	который в	3	2
56	другой стороны	5	2
57	и от	2	2
58	а в	10	2
59	с одной	2	2
60	все эти	2	2
61	уже не	5	2
62	роль в	3	2
63	одной стороны	2	2
64	и даже	8	2
65	но не	7	2
66	это и	2	2
67	мы не	3	2
68	том что	12	2
69	одна из	2	2
70	могут быть	2	2
71	с этим	3	2
72	и на	4	2
73	в себе	2	2
74	с их	3	2
75	в то	3	2
76	не могла	2	2
77	такого рода	5	2
78	к содержанию	3	2
79	когда мы	2	2
80	мира и	2	2
81	как это	3	2
82	хотя и	2	2
83	но в	2	2
84	нашего времени	3	2
85	в новом	2	2
