N	2gram	Berdyaev_O_1	VeschiIm
1	не есть	2	49
2	т е	4	42
3	не может	4	33
4	не только	11	31
5	может быть	11	29
6	и не	13	28
7	и в	19	26
8	то что	5	24
9	и есть	3	23
10	а не	11	20
11	того что	3	13
12	по себе	2	13
13	было бы	3	12
14	но и	13	12
15	сказать что	2	12
16	все же	2	12
17	и то	2	12
18	и ее	3	12
19	что же	2	11
20	как бы	3	10
21	потому что	9	10
22	в том	5	9
23	в самом	5	9
24	и с	2	9
25	прежде всего	9	9
26	что не	4	9
27	в себе	3	8
28	ничего не	2	8
29	его в	2	7
30	так как	2	7
31	том что	2	7
32	в этом	12	7
33	так что	2	6
34	что они	2	6
35	что в	4	6
36	для него	5	6
37	ни с	7	6
38	должно быть	2	6
39	но в	2	6
40	с ним	3	6
41	это не	3	5
42	не в	11	5
43	еще не	3	5
44	только и	4	5
45	а в	5	5
46	что для	2	5
47	как к	2	5
48	с тем	2	5
49	в ее	2	5
50	же это	2	5
51	и для	2	5
52	с чем	2	4
53	можно ли	2	4
54	в своем	2	4
55	рационализма и	2	4
56	что есть	2	4
57	о том	3	4
58	для всякого	2	4
59	и все	10	4
60	как и	6	4
61	и о	2	4
62	и потому	2	4
63	что и	2	4
64	тем что	2	4
65	никогда не	9	3
66	вопрос о	10	3
67	момент в	2	3
68	в нем	10	3
69	отношение к	5	3
70	все это	6	3
71	всегда есть	4	3
72	и ни	2	3
73	даже и	2	3
74	ли сказать	2	3
75	что он	3	3
76	к ней	2	3
77	в своей	2	3
78	так и	2	3
79	того чтобы	4	3
80	хотя бы	3	3
81	человека и	10	2
82	в самой	9	2
83	и нет	2	2
84	только одно	3	2
85	и вот	3	2
86	в своих	3	2
87	с которой	2	2
88	о которой	2	2
89	жизни в	2	2
90	различие между	3	2
91	он не	7	2
92	нем нет	3	2
93	когда он	3	2
94	мысли и	3	2
95	для того	3	2
96	и его	4	2
97	ничто не	2	2
98	не все	2	2
99	это было	3	2
