N	2gram	Tiupa_Vved_1	Literetu
1	и не	12	22
2	тогда как	10	17
3	и в	13	16
4	в мире	8	16
5	при этом	26	15
6	не только	20	14
7	но и	19	14
8	в этом	21	14
9	а не	15	12
10	то что	6	12
11	может быть	18	12
12	в том	10	12
13	в частности	13	11
14	не в	6	10
15	такого рода	16	10
16	своего рода	10	10
17	то же	5	9
18	так и	8	9
19	того что	6	9
20	в то	4	9
21	в жизни	4	8
22	том что	7	8
23	в е	2	8
24	не может	7	8
25	как бы	4	8
26	в противовес	3	7
27	в своей	5	7
28	же время	3	7
29	со стороны	5	7
30	тем самым	5	7
31	только в	6	7
32	по мысли	5	6
33	состоит в	10	6
34	с другой	5	6
35	к тому	6	6
36	еще не	7	6
37	в его	4	6
38	и т.п	9	6
39	и его	5	6
40	в себе	5	6
41	о том	5	6
42	присутствия в	7	6
43	в качестве	8	5
44	это не	6	5
45	тому же	4	5
46	как и	11	5
47	соответствии с	6	5
48	лишь в	2	5
49	в целом	3	5
50	как в	4	5
51	в отличие	2	5
52	а в	6	5
53	этом отношении	4	5
54	всего лишь	5	5
55	коммуникативного события	5	5
56	в основе	3	5
57	то есть	8	5
58	отличие от	2	5
59	место в	2	4
60	но не	5	4
61	в рамках	4	4
62	никогда не	4	4
63	однако в	4	4
64	до конца	3	4
65	одной стороны	5	4
66	в начале	3	4
67	и для	3	4
68	одним из	5	4
69	хотя и	7	4
70	отношению к	7	4
71	коммуникативное событие	6	4
72	данном случае	6	4
73	в тексте	10	4
74	по отношению	7	4
75	жизни в	4	4
76	с одной	5	4
77	а также	8	4
78	в данном	13	4
79	как будто	4	4
80	отнюдь не	7	3
81	прежде всего	7	3
82	доктор живаго	2	3
83	в романе	6	3
84	в соответствии	6	3
85	о чем	2	3
86	мира в	8	3
87	например в	2	3
88	и к	2	3
89	в самом	2	3
90	вслед за	2	3
91	в слове	3	3
92	еще в	2	3
93	и тем	2	3
94	для которого	3	3
95	жизни и	7	3
96	бы и	4	3
97	уже не	5	3
98	самом деле	3	3
99	и наконец	2	3
100	на смену	2	3
101	тому как	2	3
102	потому что	5	3
103	по своей	3	3
104	едва ли	3	3
105	в области	3	3
106	но в	6	3
107	а лишь	2	2
108	что в	3	2
109	не менее	4	2
110	если бы	7	2
111	все они	2	2
112	по большей	3	2
113	в случае	2	2
114	как о	2	2
115	не как	2	2
116	одного из	3	2
117	к этому	2	2
118	не всегда	2	2
119	вследствие этого	3	2
120	по себе	2	2
121	большей части	3	2
122	или иной	3	2
123	в нем	5	2
124	и адресата	2	2
125	а на	2	2
126	во втором	2	2
127	в свою	4	2
128	для него	3	2
129	можно сказать	4	2
130	было бы	4	2
131	во всех	2	2
132	том чтобы	2	2
133	текста и	3	2
134	той или	3	2
135	не вполне	3	2
136	один из	3	2
137	не с	3	2
138	что и	2	2
139	все же	6	2
140	отношение к	2	2
141	бытия в	2	2
142	человеческого присутствия	3	2
143	как мы	3	2
144	внимание на	3	2
145	как раз	2	2
146	быть не	4	2
147	о которой	2	2
148	другой стороны	2	2
149	исходной ситуации	5	2
150	или иначе	2	2
151	в своих	2	2
152	и на	3	2
153	мы и	2	2
154	и с	2	2
155	быть только	2	2
156	тем что	2	2
157	следует признать	4	2
158	подобно тому	2	2
159	далеко не	4	2
160	он и	2	2
161	мира а	2	2
162	представляет собой	15	2
163	в первом	2	2
164	здесь не	2	2
165	мира и	2	2
