N	2gram	Losev_Dial_4	DiskursI
1	в себе	8	19
2	при этом	2	17
3	в качестве	2	16
4	и в	15	16
5	может быть	17	16
6	как и	7	16
7	в этом	11	16
8	и не	30	15
9	а не	18	14
10	в частности	2	12
11	отличие от	2	12
12	но и	4	11
13	но в	3	11
14	том что	10	10
15	не только	8	10
16	со стороны	3	10
17	так и	5	9
18	не может	11	9
19	в том	11	8
20	как в	3	8
21	не менее	2	7
22	прежде всего	11	7
23	в нем	5	7
24	ни в	8	7
25	в данном	3	7
26	с его	5	6
27	отнюдь не	4	6
28	себя в	2	6
29	еще не	4	6
30	все же	2	6
31	в своей	3	6
32	то же	9	6
33	тем самым	3	6
34	в противоположность	2	5
35	что в	7	5
36	в своем	5	5
37	же время	6	5
38	то что	16	5
39	и на	5	5
40	в то	6	5
41	в одном	4	4
42	к этому	3	4
43	как бы	14	4
44	потому что	10	4
45	в основе	10	4
46	можно назвать	3	4
47	точки зрения	14	4
48	в этой	4	4
49	и то	3	4
50	о том	5	4
51	перед нами	6	3
52	и может	2	3
53	могут быть	3	3
54	в них	2	3
55	это не	12	3
56	из этих	2	3
57	и все	11	3
58	уже не	9	3
59	и как	4	3
60	не в	8	3
61	можно сказать	5	3
62	той или	4	3
63	в его	4	3
64	в котором	2	3
65	к жизни	3	3
66	из них	2	3
67	жизни и	4	3
68	и ее	8	3
69	чего не	3	3
70	не было	2	3
71	все эти	3	3
72	и наконец	3	3
73	также и	4	3
74	и его	7	3
75	но это	4	3
76	как будто	2	3
77	только в	7	3
78	никогда не	2	2
79	бытия и	4	2
80	личности в	5	2
81	что на	2	2
82	что он	7	2
83	есть в	4	2
84	должна быть	7	2
85	не нужно	2	2
86	с их	4	2
87	в ней	5	2
88	в свое	2	2
89	что и	6	2
90	с ее	10	2
91	с точки	9	2
92	с той	2	2
93	вместе с	2	2
94	что же	2	2
95	может и	2	2
96	именно в	5	2
97	в себя	5	2
98	к своему	2	2
99	все это	9	2
100	другой стороны	2	2
101	и для	5	2
102	должно быть	2	2
103	той же	5	2
104	тому как	4	2
105	совпадает с	2	2
106	в результате	6	2
107	и с	4	2
108	не о	4	2
109	подобно тому	4	2
110	говорить о	11	2
111	или по	4	2
112	и это	8	2
113	в области	3	2
114	непосредственно и	2	2
115	мы имеем	5	2
