N	2gram	Losev_Prob_3	Russkaja
1	не может	7	22
2	и не	35	19
3	в том	21	17
4	в этом	17	17
5	и в	44	14
6	то что	23	13
7	таким образом	9	11
8	то же	13	11
9	точки зрения	5	11
10	но и	10	10
11	в то	9	10
12	том что	12	9
13	не только	14	9
14	в себе	8	9
15	с точки	2	9
16	может быть	28	9
17	во всяком	9	9
18	прежде всего	3	8
19	как на	2	8
20	ни к	3	7
21	отнюдь не	10	7
22	к тому	3	7
23	и если	6	7
24	самом деле	3	7
25	в данном	9	7
26	самого себя	3	7
27	мы должны	7	7
28	о том	6	7
29	и с	9	7
30	если бы	3	6
31	на самом	7	6
32	что он	9	6
33	и к	6	6
34	и при	2	6
35	с тем	5	6
36	для него	3	6
37	всяком случае	6	6
38	все это	5	6
39	в своем	5	6
40	и для	2	6
41	хотя бы	3	5
42	на то	3	5
43	или иной	8	5
44	при этом	4	5
45	до сих	2	5
46	было бы	8	5
47	в своей	5	5
48	он не	8	5
49	никогда не	6	5
50	в нем	9	5
51	сих пор	2	5
52	во всех	2	5
53	и только	6	5
54	по существу	2	5
55	из которых	2	5
56	а в	5	5
57	потому что	25	5
58	только в	19	5
59	но не	3	4
60	что в	8	4
61	то ни	6	4
62	как и	10	4
63	он будет	2	4
64	как бы	9	4
65	все же	6	4
66	себя в	2	4
67	бы то	4	4
68	жизни и	6	4
69	вместе с	2	4
70	от того	2	4
71	что же	8	4
72	в их	2	4
73	не в	13	4
74	можно было	4	4
75	и то	14	4
76	в этой	3	4
77	в его	9	4
78	его в	3	4
79	идет речь	3	4
80	так как	9	4
81	он сам	4	3
82	для них	2	3
83	что это	3	3
84	можно ли	4	3
85	именно в	2	3
86	в конце	5	3
87	что все	2	3
88	с нею	2	3
89	при условии	2	3
90	о которых	3	3
91	этом случае	5	3
92	всех этих	2	3
93	да и	5	3
94	и как	3	3
95	в другом	2	3
96	то в	3	3
97	что они	5	3
98	в качестве	3	3
99	еще не	5	3
100	в самом	3	3
101	мы говорили	2	3
102	собой а	2	3
103	той или	12	3
104	но если	6	3
105	и потому	7	3
106	для этого	6	3
107	то это	10	3
108	что и	9	3
109	не есть	35	3
110	и т	13	3
111	из них	2	3
112	все они	2	3
113	данном случае	7	3
114	только к	2	3
115	не было	5	3
116	что оно	2	3
117	того что	8	3
118	и по	2	3
119	друг друга	2	3
120	что для	3	3
121	или в	4	3
122	тем что	4	3
123	и во	2	3
124	в виде	6	3
125	говорить о	3	3
126	связи с	8	3
127	из этого	3	3
128	конце концов	3	3
129	и ни	3	3
130	она может	2	3
131	в порядке	3	2
132	а с	2	2
133	сама по	8	2
134	нисколько не	2	2
135	и более	2	2
136	которой она	3	2
137	от нас	2	2
138	и есть	5	2
139	в частности	2	2
140	но даже	4	2
141	были бы	2	2
142	и от	9	2
143	с этим	2	2
144	точно так	3	2
145	этот вопрос	3	2
146	это в	2	2
147	ясно что	6	2
148	или иного	3	2
149	по себе	25	2
150	ни в	8	2
151	уже не	7	2
152	так что	12	2
153	это есть	3	2
154	но это	8	2
155	является не	2	2
156	от него	2	2
157	есть и	2	2
158	вся эта	3	2
159	указывает на	7	2
160	отличается от	4	2
161	настоящее время	2	2
162	там и	3	2
163	она не	3	2
164	совершенно не	4	2
165	от друга	2	2
166	и о	5	2
167	в ней	5	2
168	и является	4	2
169	в котором	2	2
170	в настоящее	2	2
171	для нее	2	2
172	если же	3	2
173	для себя	2	2
174	и тем	9	2
175	друг от	2	2
176	для нас	16	2
177	быть и	3	2
178	на основании	2	2
179	даже не	2	2
180	и тогда	3	2
181	тому что	4	2
182	даже если	2	2
183	отношения к	3	2
184	если не	3	2
185	все эти	7	2
186	и состоит	2	2
187	не просто	23	2
188	только на	5	2
189	бы нас	2	2
190	и что	7	2
191	тем самым	5	2
192	а не	18	2
193	что такое	3	2
194	и даже	14	2
195	не так	3	2
196	так же	5	2
197	в таком	5	2
198	свое собственное	2	2
199	в результате	2	2
200	ведь в	2	2
201	мы можем	6	2
202	даже и	16	2
203	с самим	3	2
204	мы уже	4	2
205	в начале	2	2
206	того или	6	2
207	в таких	3	2
208	ни от	4	2
209	как будто	3	2
210	в этих	2	2
211	только с	4	2
212	с ним	7	2
213	но в	12	2
