N	2gram	Propp_Isto_7	VerxiiNi
1	и в	24	26
2	таким образом	7	22
3	вместе с	7	15
4	в этом	12	15
5	точки зрения	4	13
6	как бы	4	12
7	в том	7	11
8	после смерти	3	10
9	может быть	14	10
10	не только	21	10
11	из этих	3	10
12	связи с	3	9
13	что в	13	9
14	но и	11	9
15	магической силы	3	9
16	так как	8	9
17	с другой	9	8
18	но не	6	8
19	и не	4	8
20	и у	2	8
21	связанные с	2	7
22	том что	10	7
23	но все	4	7
24	одной стороны	5	7
25	из них	2	7
26	к нему	7	7
27	то что	7	7
28	с одной	5	7
29	потому что	9	7
30	но в	5	7
31	в конце	3	6
32	представление о	3	6
33	того же	2	6
34	что и	8	6
35	все же	9	6
36	так и	5	6
37	все это	8	6
38	все эти	2	6
39	мы должны	4	6
40	о том	9	6
41	отношение к	5	5
42	до сих	2	5
43	одной из	4	5
44	никогда не	4	5
45	сих пор	3	5
46	так же	6	5
47	а не	8	5
48	не имеет	4	5
49	в силу	2	5
50	должен был	2	4
51	в этих	13	4
52	попадает в	2	4
53	и от	2	4
54	что он	21	4
55	в нем	6	4
56	в самом	2	4
57	в котором	2	4
58	не может	14	4
59	а в	10	4
60	то же	8	4
61	и что	10	4
62	на этот	2	4
63	и по	3	4
64	ничем не	2	4
65	во время	6	4
66	он не	6	4
67	в то	2	4
68	только в	6	4
69	не менее	5	3
70	же как	4	3
71	и другие	9	3
72	что это	6	3
73	но по	2	3
74	точно так	2	3
75	а после	2	3
76	к этому	2	3
77	так что	3	3
78	представляет собой	4	3
79	в качестве	3	3
80	и нет	2	3
81	и если	3	3
82	и о	2	3
83	к ним	2	3
84	не вполне	3	3
85	если в	2	3
86	тем не	4	3
87	когда он	3	3
88	с ней	3	3
89	оказывается что	2	3
90	в связи	2	3
91	при этом	4	3
92	уже не	2	3
93	того что	6	3
94	и даже	3	3
95	в которой	2	3
96	с этой	6	3
97	что эти	2	3
98	в других	4	3
99	уже в	3	2
100	не могут	2	2
101	с его	3	2
102	на небе	2	2
103	он в	2	2
104	в них	3	2
105	превращается в	3	2
106	тогда когда	3	2
107	но при	2	2
108	в образе	3	2
109	прежде всего	2	2
110	не всегда	4	2
111	на то	3	2
112	и здесь	12	2
113	по существу	4	2
114	мы видели	7	2
115	этой задачи	3	2
116	так например	2	2
117	связано с	3	2
118	что мы	3	2
119	с целью	2	2
120	тот же	2	2
121	еще не	8	2
122	конечно не	2	2
123	в русских	2	2
124	вплоть до	2	2
125	с того	4	2
126	должно было	2	2
127	такое положение	2	2
128	один из	7	2
129	во всех	7	2
130	связь с	2	2
131	по своим	3	2
132	отличается от	2	2
133	всех других	2	2
134	если не	4	2
135	мы имеем	12	2
136	этой точки	3	2
137	в другое	2	2
138	его не	2	2
139	с тех	2	2
140	и на	2	2
141	сказать что	2	2
142	не в	9	2
143	мы можем	4	2
144	и наконец	3	2
145	и после	2	2
146	и все	6	2
147	в китае	2	2
148	и это	2	2
149	очень много	2	2
