N	2gram	Tiupa_Hudo_1	Narrotol
1	не только	12	32
2	может быть	5	25
3	но и	5	23
4	в качестве	9	21
5	и не	2	20
6	и в	14	19
7	в том	12	18
8	в этом	11	17
9	в тексте	3	16
10	в частности	5	14
11	том что	16	14
12	не в	7	14
13	состоит в	2	13
14	в рамках	2	12
15	а не	12	12
16	своего рода	7	12
17	тогда как	7	12
18	то что	8	11
19	а в	7	11
20	не может	7	10
21	точки зрения	5	10
22	при этом	12	9
23	со стороны	3	9
24	так и	13	9
25	в его	8	9
26	в мире	3	9
27	героя в	2	8
28	в себе	11	8
29	как и	9	7
30	еще не	7	7
31	к тому	7	7
32	такого рода	3	7
33	а также	3	7
34	все же	3	7
35	как в	8	7
36	по отношению	8	7
37	с его	5	6
38	что он	9	6
39	отношению к	8	6
40	то в	4	6
41	но не	3	6
42	именно в	7	6
43	в себя	2	6
44	иначе говоря	2	6
45	о том	12	6
46	но в	5	6
47	отнюдь не	3	5
48	по себе	2	5
49	можно сказать	4	5
50	картина мира	4	5
51	себя в	4	5
52	картины мира	4	5
53	в форме	2	5
54	уже не	7	5
55	и его	5	5
56	к себе	5	5
57	в этой	8	5
58	перед нами	5	4
59	матери и	2	4
60	прежде всего	11	4
61	в нем	3	4
62	у него	9	4
63	что не	2	4
64	то же	9	4
65	же в	3	4
66	да и	2	4
67	в противовес	2	4
68	при всей	2	4
69	же время	8	4
70	было бы	6	4
71	связи с	4	4
72	одной из	2	4
73	как бы	7	4
74	о нем	3	4
75	речь идет	3	4
76	или напротив	2	4
77	н.д тамарченко	2	4
78	не столько	2	4
79	в рассказе	11	4
80	только в	5	4
81	как правило	6	4
82	героя и	5	4
83	здесь не	2	4
84	пока еще	2	4
85	и с	4	4
86	не менее	5	3
87	а с	2	3
88	жизни в	6	3
89	же как	2	3
90	что в	6	3
91	никогда не	6	3
92	тем не	4	3
93	ни в	5	3
94	одна из	2	3
95	на том	2	3
96	хотя и	2	3
97	в ней	4	3
98	он не	4	3
99	и даже	3	3
100	если в	2	3
101	один из	4	3
102	с ее	2	3
103	из них	4	3
104	жизни и	5	3
105	в ее	3	3
106	на него	2	3
107	особенно в	2	3
108	этом отношении	3	3
109	как мы	3	3
110	столь же	4	3
111	и он	5	3
112	жизни как	2	3
113	или иначе	2	3
114	и на	3	3
115	будто бы	3	3
116	между тем	8	3
117	тем что	3	3
118	не о	2	3
119	в конечном	2	3
120	по своей	4	3
121	в то	8	3
122	как будто	4	3
123	себя и	2	2
124	конечном счете	2	2
125	в анекдоте	4	2
126	в своем	4	2
127	что у	3	2
128	та же	4	2
129	быть может	7	2
130	личности в	7	2
131	или иного	2	2
132	в литературе	3	2
133	совершенно иной	2	2
134	идет о	3	2
135	что на	2	2
136	по выражению	2	2
137	или иную	2	2
138	анекдота и	11	2
139	ту или	2	2
140	его личности	2	2
141	о своей	2	2
142	у нее	2	2
143	в значительной	2	2
144	для него	10	2
145	в пределах	3	2
146	она не	4	2
147	читателя в	6	2
148	они в	2	2
149	чеховский рассказ	3	2
150	в аспекте	5	2
151	несмотря на	4	2
152	например в	2	2
153	значительной степени	2	2
154	как кажется	2	2
155	к другому	4	2
156	он уже	4	2
157	и когда	3	2
158	и потому	2	2
159	авторской позиции	2	2
160	так или	2	2
161	даже в	3	2
162	не имеет	2	2
163	картину мира	3	2
164	его жизни	2	2
165	во второй	5	2
166	рассказа о	3	2
167	жизнью и	2	2
168	приводит к	3	2
169	как раз	4	2
170	как к	3	2
171	в связи	3	2
172	не было	4	2
173	все эти	3	2
174	ключ к	2	2
175	человека в	6	2
176	они не	2	2
177	самом деле	5	2
178	того или	2	2
179	и для	3	2
180	с точки	3	2
181	это не	7	2
182	в таком	3	2
183	можно было	5	2
184	не случайно	7	2
185	в результате	2	2
186	однако в	2	2
187	и ей	2	2
188	но как	2	2
189	говорить о	3	2
190	и все	4	2
191	его в	3	2
192	представляют собой	2	2
193	всего лишь	4	2
194	ничего не	8	2
195	от героя	2	2
