N	2gram	Berdyaev_N_1	Problemy
1	и в	16	35
2	и не	11	27
3	но в	2	19
4	не может	16	18
5	как и	7	18
6	в нем	5	16
7	и все	4	15
8	но и	3	14
9	может быть	7	14
10	все это	5	14
11	в этом	7	14
12	он не	8	13
13	прежде всего	4	12
14	и с	2	12
15	и к	5	12
16	в то	2	11
17	не в	6	10
18	не только	5	10
19	то что	4	10
20	я не	2	8
21	так и	2	8
22	потому что	4	8
23	и для	4	8
24	лишь в	6	7
25	так же	2	7
26	а в	2	7
27	с его	6	7
28	еще не	3	7
29	что в	9	6
30	к тому	3	6
31	но это	6	6
32	и что	2	6
33	стремится к	3	6
34	и на	2	6
35	не знает	6	6
36	но не	2	6
37	и т.п	2	6
38	в том	8	5
39	и даже	2	5
40	как в	3	5
41	в себе	2	5
42	на протяжении	2	5
43	и это	2	5
44	все время	2	4
45	никогда не	6	4
46	с другой	3	4
47	в мире	3	4
48	ведь и	2	4
49	у него	2	4
50	в них	4	4
51	по своему	4	4
52	нет и	2	4
53	в своей	3	4
54	а не	17	4
55	как будто	2	4
56	и от	2	3
57	такой же	2	3
58	высшей степени	6	3
59	совсем не	12	3
60	с ее	5	3
61	другой стороны	2	3
62	все эти	2	3
63	должно быть	4	3
64	это не	4	3
65	сказать что	3	3
66	в высшей	6	3
67	с тем	3	3
68	с этим	2	3
69	этом смысле	2	3
70	в ее	3	3
71	это и	2	3
72	том что	2	3
73	за пределы	3	3
74	во всех	3	3
75	уже не	2	3
76	не менее	4	2
77	времени и	2	2
78	для этого	2	2
79	не знал	2	2
80	я уже	2	2
81	что все	2	2
82	вопрос о	3	2
83	ни в	6	2
84	хотя и	2	2
85	время как	2	2
86	будет и	2	2
87	тому как	3	2
88	но для	2	2
89	в ней	5	2
90	о том	4	2
91	мысли в	2	2
92	в жизни	5	2
93	быть в	2	2
94	но я	2	2
95	ли это	2	2
96	конечно не	3	2
97	себя в	2	2
98	вместе с	2	2
99	хотя бы	2	2
100	можно было	2	2
101	подобно тому	3	2
102	еще до	2	2
103	это было	3	2
