N	2gram	Bakhtin_KF_1	VrazhdaK
1	не только	5	9
2	в этом	14	8
3	и в	24	8
4	но и	9	7
5	что в	4	7
6	то что	7	7
7	и все	7	7
8	в котором	24	6
9	в нем	28	6
10	все же	5	6
11	как и	5	6
12	но в	5	6
13	о нем	4	6
14	то же	5	5
15	не было	8	5
16	и не	26	5
17	между тем	4	5
18	в то	3	5
19	же время	2	5
20	для нас	4	4
21	как бы	9	4
22	все это	10	4
23	это не	10	4
24	что он	2	4
25	с ним	5	4
26	в своих	3	4
27	может быть	45	4
28	при этом	4	4
29	о том	3	4
30	в ней	3	4
31	в виду	3	4
32	я не	6	3
33	в своем	16	3
34	что есть	2	3
35	к этому	2	3
36	в том	6	3
37	и его	17	3
38	том что	4	3
39	и как	2	3
40	тем что	3	3
41	в его	40	3
42	его в	5	3
43	в чем	4	3
44	он не	6	3
45	место в	5	2
46	его с	2	2
47	а с	2	2
48	в своей	10	2
49	и это	12	2
50	время и	5	2
51	не менее	3	2
52	никогда не	5	2
53	отнюдь не	6	2
54	его и	2	2
55	не может	27	2
56	а в	4	2
57	рядом с	3	2
58	но это	6	2
59	уже не	7	2
60	к себе	2	2
61	с точки	9	2
62	меня но	4	2
63	на основе	7	2
64	меня как	3	2
65	этот момент	6	2
66	в этой	2	2
67	что я	5	2
68	и то	2	2
69	в момент	3	2
70	но как	5	2
71	точки зрения	12	2
72	ко мне	6	2
73	в свою	3	2
74	и ее	2	2
75	в себе	21	2
76	отношение к	5	2
77	для него	8	2
78	еще не	4	2
79	в это	2	2
80	его на	2	2
81	в мире	6	2
82	к ним	4	2
83	в него	2	2
