N	2gram	Propp_Isto_1	UchenyiS
1	и в	28	14
2	а не	15	10
3	не только	12	10
4	и не	9	8
5	прежде всего	10	8
6	то что	9	7
7	в этом	8	7
8	не может	15	7
9	может быть	25	6
10	хотя бы	4	5
11	все это	4	5
12	и только	2	5
13	то же	12	5
14	но и	10	4
15	в этой	6	4
16	в их	3	4
17	конечно не	2	4
18	с другой	6	4
19	что такое	2	4
20	в конечном	2	4
21	но в	8	3
22	как и	4	3
23	все же	10	3
24	в частности	2	3
25	бы то	2	3
26	для этого	3	3
27	то ни	2	3
28	другой стороны	5	3
29	для него	2	3
30	это не	7	3
31	в то	3	3
32	не как	3	3
33	было бы	7	3
34	в области	2	3
35	к сожалению	3	3
36	ни было	2	3
37	том что	7	2
38	но не	5	2
39	в том	9	2
40	не все	4	2
41	по существу	5	2
42	мы не	10	2
43	не есть	2	2
44	не в	9	2
45	всех этих	2	2
46	и для	4	2
47	но это	4	2
48	должна быть	5	2
49	если бы	8	2
50	нас в	2	2
51	только в	11	2
52	и с	4	2
53	тем что	3	2
54	сих пор	5	2
55	материала и	2	2
56	могут быть	4	2
57	его и	2	2
58	ее нельзя	2	2
59	что он	10	2
60	в себе	2	2
61	как раз	2	2
62	до сих	5	2
63	что мы	7	2
64	же самое	3	2
65	могли бы	3	2
66	на эту	3	2
67	не могут	2	2
68	по себе	3	2
69	в некоторых	2	2
70	превращается в	4	2
71	одним из	2	2
72	ничего не	2	2
73	для всех	2	2
74	что она	5	2
75	что и	6	2
76	в его	5	2
77	между тем	2	2
78	на первый	2	2
79	таким образом	8	2
80	же не	3	2
81	это было	2	2
