N	2gram	Nazirov_Tv_1	Dialekti
1	и не	7	30
2	может быть	5	20
3	и в	21	19
4	не только	7	19
5	и т	3	17
6	а не	5	16
7	в себе	2	15
8	то что	8	14
9	что она	2	14
10	и даже	3	14
11	в том	7	14
12	как бы	17	14
13	так как	3	14
14	потому что	5	14
15	вовсе не	5	13
16	но и	3	12
17	то же	13	12
18	значит что	2	12
19	и все	6	12
20	как и	12	10
21	и как	4	10
22	в нем	3	10
23	так и	2	10
24	том что	11	10
25	это не	4	10
26	сказать что	2	10
27	времени и	4	9
28	никогда не	3	9
29	по крайней	2	9
30	крайней мере	2	9
31	не может	4	9
32	же и	2	9
33	личности в	2	8
34	прежде всего	4	8
35	не в	2	8
36	в этом	6	8
37	в своей	4	8
38	есть не	2	7
39	но это	5	7
40	что в	12	7
41	и притом	2	7
42	как будто	5	7
43	так что	2	7
44	пространства и	2	7
45	я не	3	6
46	и та	2	6
47	в вечности	2	6
48	что он	6	6
49	что не	2	6
50	отнюдь не	5	6
51	в то	15	6
52	но не	3	6
53	того что	3	6
54	не могу	2	6
55	жизни и	3	6
56	личности и	2	6
57	с другой	3	5
58	же время	12	5
59	можно сказать	2	5
60	в самом	3	5
61	что и	2	5
62	в одно	2	5
63	только что	2	5
64	на свете	2	5
65	и его	6	5
66	только в	5	5
67	о том	6	5
68	не то	2	5
69	и с	3	5
70	в виду	2	5
71	уже в	3	4
72	может не	2	4
73	и время	2	4
74	в своем	4	4
75	та же	4	4
76	все же	5	4
77	при этом	7	4
78	он не	8	4
79	хотя бы	5	4
80	все это	10	4
81	во времени	3	4
82	таким образом	5	4
83	самом деле	2	4
84	и по	3	4
85	а в	6	4
86	в одной	2	4
87	могут быть	2	4
88	но он	2	4
89	и когда	2	4
90	с ним	3	4
91	не менее	6	3
92	в этих	2	3
93	и от	4	3
94	это время	2	3
95	об этом	2	3
96	но только	2	3
97	уже не	3	3
98	это и	3	3
99	время не	2	3
100	в этой	5	3
101	общения с	2	3
102	времени а	2	3
103	себе не	2	3
104	даже в	3	3
105	из них	2	3
106	мы находим	2	3
107	это как	3	3
108	но без	2	3
109	петр александрович	3	3
110	в данном	2	3
111	о котором	2	3
112	в один	2	3
113	в чем	2	3
114	нет ни	2	3
115	зависит от	2	2
116	самого начала	3	2
117	это уже	5	2
118	в частности	2	2
119	перед нами	2	2
120	у пушкина	2	2
121	человека и	4	2
122	на самом	3	2
123	именно в	2	2
124	к тому	2	2
125	тем не	2	2
126	с самого	3	2
127	что я	3	2
128	не будет	2	2
129	на его	3	2
130	не по	3	2
131	в ней	2	2
132	когда я	2	2
133	если в	2	2
134	в мире	4	2
135	дело не	3	2
136	ее в	3	2
137	данном случае	2	2
138	жизни с	2	2
139	в каждом	3	2
140	в их	3	2
141	так же	3	2
142	не во	2	2
143	т п	2	2
144	с ее	3	2
145	как в	8	2
146	так вот	2	2
147	времени в	13	2
148	или в	2	2
149	в своих	5	2
150	в виде	3	2
151	ни на	3	2
152	и человек	2	2
153	в которой	3	2
154	человека но	3	2
155	но в	7	2
156	я и	3	2
157	в жизни	2	2
158	вместе с	2	2
