N	2gram	Voloshinov_1	VeschiIm
1	не может	8	33
2	не только	6	31
3	может быть	8	29
4	и не	8	28
5	и в	13	26
6	то что	6	24
7	а не	2	20
8	и следовательно	2	15
9	только в	6	14
10	было бы	4	12
11	но и	3	12
12	есть не	2	12
13	все же	5	12
14	и то	3	12
15	и ее	2	12
16	что же	3	11
17	таким образом	6	11
18	то же	4	10
19	в ней	2	10
20	как бы	6	10
21	в том	2	9
22	в самом	2	9
23	прежде всего	9	9
24	еще и	4	9
25	иное как	2	8
26	что иное	2	8
27	не что	2	8
28	в себе	3	8
29	говорить о	3	7
30	так как	3	7
31	том что	2	7
32	и их	7	7
33	и пр	7	7
34	в этом	2	7
35	что они	2	6
36	что в	3	6
37	для него	2	6
38	точки зрения	7	6
39	но в	4	6
40	одно и	3	6
41	не менее	2	5
42	в отношении	2	5
43	с этой	2	5
44	не в	3	5
45	только и	4	5
46	а в	2	5
47	чем же	2	5
48	если бы	2	5
49	в ее	3	5
50	для себя	2	5
51	и для	3	5
52	в чем	2	5
53	с другой	2	4
54	между собою	2	4
55	в их	3	4
56	с этим	3	4
57	и все	3	4
58	как и	3	4
59	его на	2	4
60	собственно говоря	2	4
61	с точки	5	4
62	мы не	4	4
63	в данном	2	4
64	тем что	2	4
65	никогда не	3	3
66	она является	2	3
67	к тому	2	3
68	несмотря на	2	3
69	в нем	2	3
70	все это	4	3
71	в одном	3	3
72	мы видим	2	3
73	тот же	2	3
74	в своей	4	3
75	так и	3	3
76	да и	3	3
77	самом деле	3	3
78	бы в	2	3
79	хотя бы	5	3
80	вопроса о	4	3
81	явлений и	2	3
82	говорить об	2	2
83	мог бы	2	2
84	мы уже	2	2
85	себе что	2	2
86	и тем	2	2
87	и уже	3	2
88	данном случае	2	2
89	не мог	2	2
90	который мы	2	2
91	так же	2	2
92	от всех	2	2
93	в своих	2	2
94	но ведь	5	2
95	мы можем	4	2
96	от этого	2	2
97	мы получим	2	2
98	превращается в	3	2
99	и может	2	2
100	и этот	2	2
101	как в	2	2
102	и его	12	2
