N	2gram	Tiupa_Lite_3	VLabPisa
1	в этом	14	26
2	и в	16	25
3	не только	14	22
4	может быть	12	21
5	и не	22	19
6	художественного творчества	2	18
7	не может	8	17
8	в его	6	15
9	прежде всего	3	13
10	в том	12	13
11	этом отношении	5	13
12	в частности	11	12
13	как это	3	12
14	с другой	6	11
15	из них	4	11
16	в качестве	5	10
17	о том	6	10
18	к этому	2	9
19	что в	2	9
20	для него	2	9
21	но и	14	9
22	то же	9	9
23	другой стороны	2	8
24	произведения в	3	7
25	в году	5	7
26	же в	2	7
27	как и	5	7
28	том что	8	7
29	было бы	2	7
30	отношению к	4	7
31	во всех	2	7
32	вместе с	5	7
33	по отношению	4	7
34	а не	12	7
35	это не	5	6
36	художественного произведения	2	6
37	в себе	6	6
38	то что	12	6
39	художественное творчество	2	6
40	в нем	2	6
41	так и	9	6
42	бы и	3	6
43	и его	6	6
44	между тем	3	6
45	в то	9	6
46	же время	7	5
47	все же	2	5
48	и при	2	5
49	связи с	2	5
50	одним из	4	5
51	как бы	8	5
52	один из	2	5
53	художника и	2	5
54	только в	7	5
55	не в	10	5
56	к тому	6	4
57	для его	3	4
58	в единстве	3	4
59	никогда не	4	4
60	в одном	4	4
61	в целом	5	4
62	что он	5	4
63	с его	6	4
64	можно сказать	2	4
65	в ее	5	4
66	в романе	3	4
67	в своей	7	4
68	в самом	3	4
69	даже в	4	4
70	не удивительно	2	4
71	когда он	2	4
72	художника в	4	4
73	художественное произведение	2	4
74	как раз	2	4
75	с ними	2	4
76	в этой	8	4
77	в противоположность	2	3
78	и к	3	3
79	и ее	2	3
80	и как	3	3
81	что художник	2	3
82	в конце	2	3
83	одном из	2	3
84	у нас	2	3
85	по существу	4	3
86	как о	2	3
87	что не	2	3
88	например в	3	3
89	вслед за	3	3
90	далеко не	2	3
91	удивительно что	2	3
92	его в	2	3
93	что и	2	3
94	жизни и	3	3
95	ее в	2	3
96	именно в	5	3
97	того что	9	3
98	так же	2	3
99	в слове	3	3
100	в работе	2	3
101	как на	3	3
102	точки зрения	7	3
103	всего лишь	5	3
104	не менее	2	2
105	в творческом	2	2
106	том числе	3	2
107	в стихотворении	6	2
108	в стихах	6	2
109	мира и	2	2
110	из рассказа	2	2
111	не всегда	2	2
112	искусство как	2	2
113	в жизни	8	2
114	по себе	2	2
115	стороны и	2	2
116	или иной	2	2
117	а затем	3	2
118	и потому	2	2
119	но не	4	2
120	как у	4	2
121	числе и	2	2
122	еще не	6	2
123	одной стороны	4	2
124	же самое	2	2
125	для того	2	2
126	он и	2	2
127	то это	2	2
128	если бы	2	2
129	том чтобы	2	2
130	ни с	2	2
131	и даже	2	2
132	не вполне	2	2
133	отнюдь не	3	2
134	все они	2	2
135	во всей	2	2
136	а в	5	2
137	еще и	2	2
138	с одной	4	2
139	но с	2	2
140	человека в	2	2
141	того чтобы	2	2
142	и для	4	2
143	тому как	3	2
144	в своих	2	2
145	хотя и	4	2
146	лишь в	5	2
147	он в	2	2
148	подобно тому	2	2
149	как например	2	2
150	в другом	6	2
151	в области	3	2
152	о чем	3	2
153	но в	3	2
