N	2gram	Medvedev_V_1	VerxiiNi
1	и в	26	26
2	таким образом	31	22
3	с тем	3	18
4	вместе с	7	15
5	в этом	26	15
6	точки зрения	3	13
7	как бы	5	12
8	в том	15	11
9	может быть	22	10
10	не только	25	10
11	из этих	7	10
12	связи с	4	9
13	что в	10	9
14	но и	10	9
15	в области	2	9
16	с другой	11	8
17	главным образом	7	8
18	но не	2	8
19	в общем	2	8
20	и не	19	8
21	и у	2	8
22	как на	3	8
23	том что	8	7
24	одной стороны	2	7
25	из них	9	7
26	то что	6	7
27	с одной	2	7
28	но в	2	7
29	в конце	3	6
30	к тому	4	6
31	и потому	2	6
32	что и	3	6
33	все же	5	6
34	так и	5	6
35	все это	10	6
36	все эти	6	6
37	в себе	6	6
38	о том	10	6
39	том числе	2	5
40	образом в	3	5
41	и к	3	5
42	крайней мере	2	5
43	в его	14	5
44	никогда не	4	5
45	или менее	6	5
46	так же	3	5
47	лишь в	2	5
48	а не	7	5
49	того чтобы	3	5
50	для того	3	5
51	в силу	11	5
52	и для	2	5
53	более или	6	5
54	по крайней	2	5
55	и от	3	4
56	что все	3	4
57	что он	4	4
58	в нем	6	4
59	числе и	2	4
60	из которых	2	4
61	в самом	4	4
62	в котором	3	4
63	не может	17	4
64	а в	3	4
65	то же	10	4
66	что оно	3	4
67	в течение	2	4
68	и по	3	4
69	с другими	2	4
70	в которых	3	4
71	во время	3	4
72	он не	2	4
73	в то	6	4
74	только в	7	4
75	в этой	4	4
76	далеко не	2	4
77	не менее	2	3
78	же как	2	3
79	если бы	3	3
80	как о	2	3
81	хотя бы	19	3
82	к этому	9	3
83	можно сказать	4	3
84	для него	8	3
85	и как	3	3
86	и при	5	3
87	в своем	8	3
88	в качестве	11	3
89	не вполне	2	3
90	если в	2	3
91	отношению к	7	3
92	когда он	3	3
93	к сожалению	2	3
94	в связи	3	3
95	но с	2	3
96	в значительной	3	3
97	того что	3	3
98	и даже	2	3
99	в которой	2	3
100	у них	2	3
101	в результате	5	3
102	конце концов	2	3
103	в одном	4	3
104	начиная с	2	2
105	не могут	7	2
106	с его	3	2
107	только не	2	2
108	именно в	2	2
109	из себя	2	2
110	связана с	2	2
111	в них	4	2
112	и мир	3	2
113	тогда когда	2	2
114	в образе	2	2
115	прежде всего	13	2
116	из своих	2	2
117	утверждать что	4	2
118	или иной	2	2
119	от них	2	2
120	в пользу	2	2
121	оно является	2	2
122	к его	2	2
123	его от	2	2
124	по существу	3	2
125	мы видели	3	2
126	как от	2	2
127	же время	5	2
128	ни один	7	2
129	так например	2	2
130	что мы	2	2
131	ли это	2	2
132	еще не	2	2
133	мысль о	2	2
134	вслед за	2	2
135	некоторые из	3	2
136	значительной мере	3	2
137	вплоть до	2	2
138	один из	5	2
139	жизни и	3	2
140	во всех	6	2
141	в процессе	16	2
142	приводит к	5	2
143	только что	4	2
144	отличается от	2	2
145	всех других	3	2
146	не было	7	2
147	этом отношении	13	2
148	мы имеем	3	2
149	этой точки	2	2
150	одним из	5	2
151	его не	3	2
152	сказать что	5	2
153	не в	6	2
154	и наконец	2	2
155	же самое	2	2
156	которые в	2	2
157	относится к	2	2
158	них не	4	2
159	между тем	5	2
160	в виду	4	2
