N	2gram	Bakhtin_Pr_1	OGranits
1	и в	29	13
2	и его	14	12
3	прежде всего	7	9
4	не может	12	8
5	и не	31	8
6	может быть	24	8
7	точки зрения	19	7
8	и пр	3	7
9	в его	24	7
10	таким образом	12	6
11	не только	15	6
12	то что	15	6
13	только в	10	6
14	мы должны	3	6
15	как бы	19	6
16	в музыке	2	5
17	все же	9	5
18	с точки	13	5
19	хотя бы	2	5
20	и наконец	4	5
21	в процессе	4	5
22	то же	14	4
23	в своей	8	4
24	все это	6	4
25	в каждом	8	4
26	было бы	5	4
27	в сознании	2	4
28	но в	7	4
29	и уже	2	3
30	отношению к	8	3
31	что в	8	3
32	никогда не	3	3
33	но и	14	3
34	так и	7	3
35	что же	4	3
36	в их	3	3
37	по отношению	8	3
38	не как	14	3
39	в одном	10	3
40	точку зрения	6	3
41	превращается в	4	3
42	здесь мы	2	3
43	самом деле	6	3
44	как и	12	3
45	не в	7	3
46	за пределы	7	3
47	в которой	2	3
48	в пределах	13	3
49	ни один	3	3
50	в себе	7	3
51	с этим	2	3
52	и для	4	3
53	так как	6	3
54	слово в	2	3
55	и др	5	2
56	каждый элемент	3	2
57	для себя	2	2
58	уже в	3	2
59	с этой	2	2
60	а как	7	2
61	самого начала	2	2
62	в нем	19	2
63	во всей	2	2
64	в целом	6	2
65	сознания и	5	2
66	данном случае	2	2
67	а не	22	2
68	в отношении	2	2
69	в произведении	4	2
70	во времени	3	2
71	другой стороны	3	2
72	с другой	3	2
73	она является	2	2
74	не на	4	2
75	в них	3	2
76	входит в	7	2
77	а в	7	2
78	все эти	9	2
79	вовсе не	7	2
80	те же	2	2
81	и к	2	2
82	как в	6	2
83	если бы	9	2
84	в том	8	2
85	наконец в	2	2
86	так же	6	2
87	том что	7	2
88	в зависимости	5	2
89	мы видим	2	2
90	в своих	3	2
91	в данном	2	2
92	зависимости от	5	2
93	в этом	22	2
94	тем что	4	2
95	между тем	5	2
96	в структуре	2	2
97	и следовательно	4	2
98	могут быть	6	2
99	при этом	2	2
100	и ее	2	2
101	для него	18	2
102	тот же	2	2
103	более того	5	2
104	кажется что	2	2
105	несмотря на	6	2
106	мы уже	2	2
107	его на	2	2
108	в самом	10	2
109	героя и	10	2
110	там где	10	2
111	бы в	3	2
112	в ней	2	2
