N	2gram	Berdyaev_M_1	Vladivir
1	и в	28	40
2	то что	5	28
3	и не	11	25
4	не только	29	25
5	учение о	3	24
6	то есть	3	24
7	у него	17	24
8	но и	25	18
9	в том	6	18
10	том что	3	18
11	что в	10	17
12	также и	2	17
13	в этом	20	16
14	в его	9	14
15	не может	28	14
16	точки зрения	4	13
17	только в	6	13
18	сказать что	2	12
19	даже и	2	12
20	в конце	7	12
21	никогда не	14	11
22	потому что	16	11
23	о том	2	11
24	прежде всего	10	10
25	это есть	3	10
26	и потому	10	10
27	не есть	9	10
28	и его	9	10
29	уже не	4	9
30	есть только	2	9
31	и с	3	9
32	в своей	15	9
33	в себе	7	9
34	не был	7	8
35	в своем	10	8
36	в этой	6	8
37	для него	11	8
38	может быть	30	8
39	и что	2	8
40	он не	24	8
41	а не	25	8
42	к тому	3	7
43	и как	2	7
44	а в	4	7
45	так как	3	7
46	с тем	9	7
47	того что	7	7
48	в то	2	7
49	что и	4	7
50	вместе с	6	7
51	как и	5	7
52	смысле слова	4	6
53	это значит	3	6
54	не мог	3	6
55	и на	6	6
56	и от	2	6
57	xix века	4	6
58	хотя бы	3	6
59	и это	12	6
60	в боге	3	6
61	значит что	4	6
62	для нас	3	5
63	но если	3	5
64	должно быть	3	5
65	отношения к	4	5
66	не было	18	5
67	все эти	2	5
68	только и	3	5
69	в ней	15	5
70	в истории	2	5
71	что он	10	5
72	у нас	5	5
73	еще в	2	5
74	конце концов	2	5
75	тем что	4	5
76	ничего не	3	5
77	вопрос о	2	4
78	до конца	14	4
79	мог бы	4	4
80	в самом	11	4
81	в котором	8	4
82	не имеет	3	4
83	бы и	3	4
84	философии но	2	4
85	и все	10	4
86	чем в	2	4
87	но не	8	4
88	есть и	3	4
89	то время	2	4
90	было бы	10	4
91	о боге	6	4
92	в каком	2	4
93	все же	2	4
94	но в	7	4
95	уже в	4	3
96	это не	5	3
97	человека и	14	3
98	как бы	2	3
99	в виду	2	3
100	был бы	10	3
101	в нем	13	3
102	к нему	7	3
103	ни с	4	3
104	отличается от	2	3
105	что есть	5	3
106	не так	3	3
107	самого человека	3	3
108	в россии	2	3
109	если бы	2	3
110	если нет	5	3
111	него как	2	3
112	с их	2	3
113	за пределы	4	3
114	не все	2	3
115	разного рода	2	3
116	он мог	2	3
117	того чтобы	2	3
118	и у	2	3
119	не в	16	3
120	и для	2	3
121	он сам	6	2
122	не могут	5	2
123	должна быть	6	2
124	в этих	4	2
125	к добру	2	2
126	с этой	4	2
127	и вместе	4	2
128	человека от	2	2
129	он был	14	2
130	в христианском	4	2
131	должен был	4	2
132	он никогда	2	2
133	он ни	2	2
134	истории в	2	2
135	себе и	2	2
136	в их	4	2
137	и по	4	2
138	время как	2	2
139	его творчества	2	2
140	и еще	3	2
141	в начале	2	2
142	самого себя	2	2
143	по своей	2	2
144	его в	3	2
145	нет ничего	7	2
146	бы в	2	2
147	к этой	2	2
148	не существует	2	2
149	и этот	4	2
150	с его	3	2
151	к богу	3	2
152	бог есть	2	2
153	не как	4	2
154	с этим	3	2
155	в жизни	3	2
156	к этому	2	2
157	есть не	4	2
158	и к	2	2
159	не хочет	2	2
160	на путях	3	2
161	которых он	4	2
162	не к	4	2
163	она не	4	2
164	он уже	6	2
165	в этот	2	2
166	человек есть	4	2
167	в мире	10	2
168	который был	2	2
169	оказывается что	2	2
170	бог и	7	2
171	для того	2	2
172	от этого	2	2
173	с чего	2	2
174	о свободе	18	2
175	в которой	6	2
