N	2gram	Losev_Vlad_3	VLabPisa
1	таким образом	11	27
2	в этом	16	26
3	и в	40	25
4	не только	25	22
5	может быть	8	21
6	хотя бы	6	20
7	и не	25	19
8	не может	14	17
9	в его	14	15
10	прежде всего	10	13
11	в том	18	13
12	этом отношении	2	13
13	как это	4	12
14	вот что	3	11
15	с другой	5	11
16	в силу	2	11
17	из них	2	11
18	не могут	2	10
19	в качестве	3	10
20	о том	11	10
21	по этому	3	9
22	к этому	2	9
23	об этом	6	9
24	что в	17	9
25	для него	8	9
26	но и	18	9
27	то же	4	9
28	все эти	5	8
29	в своем	8	8
30	другой стороны	2	8
31	из этих	3	7
32	в году	10	7
33	же в	3	7
34	как и	7	7
35	том что	18	7
36	было бы	4	7
37	говорит о	4	7
38	вместе с	7	7
39	не было	5	7
40	а не	8	7
41	у него	24	6
42	это не	3	6
43	в себе	9	6
44	идеи и	2	6
45	то что	28	6
46	более или	5	6
47	в основном	4	6
48	в нем	3	6
49	так и	6	6
50	или менее	5	6
51	бы и	4	6
52	и его	10	6
53	в то	7	6
54	в результате	4	5
55	тому что	4	5
56	же время	2	5
57	все же	4	5
58	как говорит	2	5
59	связи с	2	5
60	как бы	3	5
61	в их	2	5
62	сказать что	12	5
63	только в	13	5
64	не в	3	5
65	не является	2	5
66	к тому	7	4
67	никогда не	11	4
68	перед нами	3	4
69	в одном	5	4
70	в целом	2	4
71	что все	7	4
72	что он	5	4
73	с его	2	4
74	в своей	9	4
75	в нашей	2	4
76	в самом	4	4
77	даже в	4	4
78	познания в	2	4
79	как раз	10	4
80	в связи	3	4
81	в философии	3	4
82	в этой	8	4
83	и к	2	3
84	января года	4	3
85	с тем	7	3
86	и как	7	3
87	даже и	12	3
88	и от	6	3
89	в конце	12	3
90	человека и	3	3
91	только что	2	3
92	мы знаем	3	3
93	у нас	5	3
94	по существу	4	3
95	мы видели	3	3
96	утверждает что	4	3
97	говорит в	3	3
98	но как	2	3
99	с этим	2	3
100	далеко не	3	3
101	в виду	3	3
102	в котором	4	3
103	его в	2	3
104	что и	7	3
105	него в	4	3
106	ее в	3	3
107	именно в	3	3
108	сводится к	3	3
109	имеет свою	2	3
110	того что	7	3
111	и по	2	3
112	при всем	2	3
113	так же	8	3
114	разума и	2	3
115	никак не	4	3
116	как на	3	3
117	а вот	2	3
118	точки зрения	13	3
119	она не	2	3
120	является не	3	3
121	бы в	2	3
122	не менее	9	2
123	он сам	2	2
124	а о	2	2
125	можно ли	2	2
126	но даже	4	2
127	этот труд	3	2
128	отличается от	3	2
129	в жизни	2	2
130	вовсе не	13	2
131	роль в	2	2
132	по себе	6	2
133	в книге	2	2
134	стороны и	2	2
135	только о	3	2
136	этом же	2	2
137	что его	2	2
138	и потому	10	2
139	но не	4	2
140	но для	3	2
141	смысле слова	6	2
142	еще не	4	2
143	одной стороны	3	2
144	же самое	3	2
145	для того	2	2
146	одной из	2	2
147	то это	10	2
148	если бы	3	2
149	мы имеем	3	2
150	ни с	3	2
151	в ней	5	2
152	что она	2	2
153	конце концов	5	2
154	и даже	6	2
155	не вполне	2	2
156	всяком случае	3	2
157	на эти	2	2
158	и этот	2	2
159	отнюдь не	5	2
160	при помощи	4	2
161	только то	2	2
162	в материальной	2	2
163	все они	2	2
164	от того	4	2
165	между прочим	5	2
166	даже не	3	2
167	а в	7	2
168	еще и	18	2
169	с одной	3	2
170	в течение	4	2
171	но с	2	2
172	того чтобы	3	2
173	и для	3	2
174	по его	2	2
175	можно было	5	2
176	в своих	7	2
177	не столько	3	2
178	если они	2	2
179	также и	17	2
180	во всяком	3	2
181	хотя и	7	2
182	не о	2	2
183	знаем что	2	2
184	он не	8	2
185	как например	2	2
186	к его	2	2
187	в другом	2	2
188	самого себя	2	2
189	что даже	2	2
190	что мы	2	2
191	в чем	3	2
192	в которой	2	2
193	же как	3	2
194	могло бы	2	2
195	нет ни	2	2
196	но в	4	2
197	значит что	6	2
