N	2gram	Potebnia_M_1	Hudozhes
1	в мире	3	23
2	то есть	42	18
3	и не	18	16
4	в том	26	15
5	и в	39	15
6	не только	21	15
7	может быть	27	13
8	тогда как	2	13
9	при этом	6	12
10	а в	5	12
11	и его	5	12
12	но не	8	11
13	в этом	15	11
14	в себе	13	11
15	как бы	6	10
16	отношению к	13	10
17	но и	20	10
18	так и	13	10
19	по отношению	13	10
20	то же	6	10
21	а не	21	10
22	в его	5	9
23	точки зрения	8	9
24	в душе	11	8
25	с другой	7	7
26	в то	4	7
27	но в	9	7
28	что в	22	6
29	том что	16	6
30	не в	15	6
31	же время	4	6
32	не может	22	6
33	могут быть	9	5
34	только в	25	5
35	тем самым	4	5
36	в самом	3	5
37	того что	8	5
38	в нем	20	5
39	с ее	2	5
40	то что	10	5
41	другой стороны	5	5
42	в их	2	5
43	уже не	2	5
44	в этих	7	4
45	прежде всего	4	4
46	к тому	4	4
47	а только	4	4
48	и как	6	4
49	для него	4	4
50	еще не	6	4
51	хотя и	3	4
52	он не	3	4
53	и тем	3	4
54	в своей	3	4
55	со стороны	8	4
56	сознания в	2	4
57	в слове	8	4
58	и то	3	4
59	сказать что	3	4
60	между тем	5	4
61	речи и	10	4
62	к которому	3	4
63	не менее	6	3
64	если бы	14	3
65	однако в	4	3
66	он должен	2	3
67	это не	7	3
68	одного и	2	3
69	этом смысле	4	3
70	была бы	2	3
71	тем не	6	3
72	и того	2	3
73	субъекта и	4	3
74	того же	3	3
75	в свою	4	3
76	мог бы	2	3
77	имеет место	2	3
78	не будет	2	3
79	в целом	2	3
80	таким образом	13	3
81	как и	9	3
82	и что	10	3
83	во втором	5	3
84	с точки	3	3
85	и для	5	3
86	в таком	5	3
87	не следует	5	3
88	потому что	52	3
89	но он	2	3
90	что можно	3	3
91	в которой	2	3
92	на деле	4	3
93	в виду	2	3
94	слова в	2	2
95	том и	2	2
96	сама по	3	2
97	но на	2	2
98	и более	2	2
99	в противном	3	2
100	таком случае	2	2
101	из которого	3	2
102	тому что	3	2
103	в своем	3	2
104	в них	3	2
105	или даже	3	2
106	в одном	8	2
107	вовсе не	5	2
108	по себе	10	2
109	во внутренней	3	2
110	о его	2	2
111	тем более	2	2
112	есть в	2	2
113	свою очередь	4	2
114	времени и	2	2
115	слова не	2	2
116	могла бы	2	2
117	одной стороны	3	2
118	несмотря на	5	2
119	никто не	3	2
120	значительной степени	2	2
121	за пределы	2	2
122	во всех	5	2
123	и о	2	2
124	и потому	5	2
125	для себя	3	2
126	оно не	3	2
127	не могло	3	2
128	не все	2	2
129	образом и	2	2
130	как в	10	2
131	вытекает из	2	2
132	при котором	2	2
133	и притом	4	2
134	с одной	3	2
135	того чтобы	2	2
136	для того	3	2
137	и по	6	2
138	или в	2	2
139	так же	5	2
140	с ним	3	2
141	одно из	3	2
142	языка в	6	2
143	с языком	2	2
144	но как	3	2
145	в этой	3	2
146	о том	2	2
147	и это	3	2
148	из этого	2	2
149	бы не	6	2
150	противном случае	3	2
