N	2gram	Nazirov_Tr_1	StatiiOP
1	и в	18	44
2	в том	2	36
3	что в	4	30
4	том что	4	29
5	в этом	9	21
6	то что	4	18
7	не только	8	18
8	о том	2	17
9	и не	7	16
10	может быть	7	15
11	в данном	2	14
12	как в	3	13
13	не в	2	12
14	в этой	4	11
15	что он	6	10
16	но и	4	10
17	но в	6	10
18	в то	5	9
19	как и	5	9
20	так и	5	9
21	в его	3	9
22	все же	5	8
23	не может	5	8
24	и его	6	8
25	это не	5	8
26	я не	4	7
27	прежде всего	4	7
28	по поводу	2	7
29	в самом	2	7
30	потому что	2	6
31	так что	2	6
32	но это	4	6
33	для него	3	6
34	что и	2	6
35	данном случае	2	6
36	никогда не	2	5
37	так же	4	5
38	в нем	4	5
39	в целом	4	5
40	все это	4	5
41	вряд ли	2	5
42	то же	5	5
43	и даже	4	5
44	и то	2	5
45	тем что	2	5
46	все эти	3	5
47	что это	5	4
48	по словам	2	4
49	в частности	2	4
50	столь же	2	4
51	что она	2	4
52	вопрос о	2	4
53	бы и	2	4
54	в ее	2	4
55	же время	6	4
56	но все	2	4
57	и что	4	4
58	никто не	3	4
59	как бы	7	4
60	не имеет	2	4
61	как будто	3	4
62	как это	3	4
63	и я	2	3
64	и с	7	3
65	в конце	3	3
66	ни в	2	3
67	он был	2	3
68	об этом	4	3
69	еще не	4	3
70	своего рода	3	3
71	и за	2	3
72	говорит о	2	3
73	по мнению	2	3
74	в виде	2	3
75	говорит что	2	3
76	в таком	2	3
77	это очень	5	3
78	что все	2	2
79	уже в	3	2
80	а как	2	2
81	в своем	3	2
82	при этом	3	2
83	что с	3	2
84	и сам	3	2
85	несмотря на	5	2
86	в первом	2	2
87	отношение к	2	2
88	тем самым	3	2
89	ничего не	2	2
90	что этот	2	2
91	у него	6	2
92	он не	2	2
93	в себе	4	2
94	и все	4	2
95	его в	2	2
96	и это	2	2
97	к нему	3	2
98	то есть	3	2
