N	2gram	Medvedev_V_1	EvropaiE
1	и в	26	37
2	в пределах	5	25
3	точки зрения	3	23
4	что в	10	21
5	не только	25	18
6	в то	6	16
7	хотя бы	19	15
8	то же	10	15
9	в своем	8	14
10	в качестве	11	14
11	же время	5	14
12	но и	10	14
13	и не	19	14
14	но в	2	14
15	в этом	26	12
16	в их	5	11
17	в том	15	11
18	в области	2	11
19	так и	5	10
20	отнюдь не	3	9
21	прежде всего	13	9
22	не может	17	9
23	т е	18	9
24	в себе	6	9
25	только в	7	9
26	так же	3	9
27	к тому	4	8
28	в ее	4	8
29	одной стороны	2	8
30	было бы	7	8
31	в своей	4	8
32	с одной	2	8
33	между тем	5	8
34	как и	7	7
35	между прочим	2	7
36	того что	3	7
37	с другой	11	7
38	также и	2	7
39	вовсе не	3	6
40	том что	8	6
41	стороны и	2	6
42	может быть	22	6
43	вслед за	2	6
44	для того	3	6
45	как бы	5	6
46	то что	6	6
47	во всех	6	6
48	того чтобы	3	6
49	и даже	2	6
50	же как	2	5
51	в частности	11	5
52	не в	6	5
53	но не	2	5
54	в течение	2	5
55	и по	3	5
56	этой точки	2	5
57	и потому	2	5
58	но даже	3	4
59	именно в	2	4
60	или иной	2	4
61	можно сказать	4	4
62	в самом	4	4
63	в ней	2	4
64	даже в	5	4
65	в процессе	16	4
66	по себе	2	4
67	сказать что	5	4
68	того или	2	4
69	как это	12	4
70	и к	3	3
71	с более	2	3
72	в сфере	2	3
73	этом отношении	13	3
74	с тем	3	3
75	можно ли	2	3
76	никогда не	4	3
77	в них	4	3
78	и от	3	3
79	от них	2	3
80	в общем	2	3
81	мы видели	3	3
82	ли это	2	3
83	очевидно что	7	3
84	из них	9	3
85	не является	5	3
86	что и	3	3
87	говорит о	7	3
88	когда он	3	3
89	ее в	4	3
90	бы и	6	3
91	и для	2	3
92	как на	3	3
93	можно было	2	3
94	в которых	3	3
95	в результате	5	3
96	о том	10	3
97	всего лишь	3	3
98	мира и	3	3
99	отметить что	2	3
100	в порядке	5	2
101	что все	3	2
102	он сам	2	2
103	не могут	7	2
104	а не	7	2
105	с этим	3	2
106	в одном	4	2
107	главным образом	7	2
108	одном из	3	2
109	утверждать что	4	2
110	же в	6	2
111	и как	3	2
112	в силу	11	2
113	но как	3	2
114	между ними	3	2
115	она не	3	2
116	меньшей степени	2	2
117	на язык	2	2
118	он не	2	2
119	в его	14	2
120	и этот	2	2
121	в котором	3	2
122	если в	2	2
123	при помощи	3	2
124	жизни и	3	2
125	вместе с	7	2
126	на основании	8	2
127	во всей	2	2
128	а в	3	2
129	таким образом	31	2
130	если бы	3	2
131	частности в	2	2
132	начиная с	2	2
133	но с	2	2
134	заключается в	2	2
135	в значительной	3	2
136	можно утверждать	3	2
137	и наконец	2	2
138	другой стороны	8	2
139	этот процесс	2	2
140	с другими	2	2
141	на основе	5	2
142	войны и	2	2
143	или в	3	2
144	в своих	2	2
145	этот вопрос	3	2
146	хотя и	2	2
147	могут быть	5	2
148	в этой	4	2
149	стороны в	2	2
150	далеко не	2	2
151	бы в	3	2
152	тогда когда	2	2
